Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddmmBackward,360.03040212313635,1695743.1939999722,104931.97450004827,4710.0
AvgPool2DBackward,957.7221232484387,3007247.467000097,29352.05100013017,3140.0
LogSoftmaxBackward,67.77618280251713,106408.60699995188,16121.614999857182,1570.0
MkldnnConvolutionBackward,8683.735456608207,27266929.333749775,51025.52174973843,3140.0
NllLossBackward,68.62072324840332,107734.53549999323,34744.4592500223,1570.0
TBackward,9.30247367304162,43814.651000026024,15541.794250142408,4710.0
TanhBackward,292.4267466162661,1836439.9687501509,58939.65399983006,6280.0
ViewBackward,18.593619904546365,29191.983250137797,7982.886500135453,1570.0
_convolution,1771.220868312076,5561633.526499918,56531.138499986555,3140.0
_local_scalar_dense,1.867398400158547,373517.02799971256,373517.02799971256,200020.0
_log_softmax,76.80606464962207,120585.52149990667,120585.52149990667,1570.0
_log_softmax_backward_data,57.507638216620826,90286.9920000947,90286.9920000947,1570.0
add_,10.656011938529648,334492.2147504457,334492.2147504457,31390.0
addmm,144.12912213369881,678848.1652497214,678848.1652497214,4710.0
avg_pool2d,632.4666708598331,1985945.3464998761,1985945.3464998761,3140.0
avg_pool2d_backward,948.374336305722,2977895.415999967,2977895.415999967,3140.0
contiguous,0.9491574575221864,8941.063249858997,8941.063249858997,9420.0
conv2d,1780.2485964968632,5589980.593000151,14422.03425023329,3140.0
convolution,1775.6555919585728,5575558.558749918,13925.032250000517,3140.0
detach,1.8984499999987747,18.984499999987747,18.984499999987747,10.0
detach_,1.6420038238601902,28340.98599982688,28340.98599982688,17260.0
div,19.025224981246012,3805044.9962492017,3805044.9962492017,200000.0
div_,103.29723646490885,162176.66124990687,162176.66124990687,1570.0
empty,4.292328427499642,1716931.3709998569,1716931.3709998569,400000.0
flatten,17.02517253185445,53459.04175002298,13716.200249878315,3140.0
is_complex,0.6373000012479706,6.373000012479707,6.373000012479707,10.0
is_floating_point,2.170712499794363,43.41424999588726,43.41424999588726,20.0
item,3.9005266710701854,780183.3447474584,406666.31674774585,200020.0
log_softmax,82.73675541401735,129896.70600000725,9311.184500100586,1570.0
mkldnn_convolution,1750.3698486465198,5496161.324750072,5496161.324750072,3140.0
mkldnn_convolution_backward,8667.485290445871,27215903.812000036,27215903.812000036,3140.0
mm,155.48489989382722,1464667.7569998524,1464667.7569998524,9420.0
narrow,11.395256369440478,357811.0500004309,122254.29675062533,31400.0
nll_loss,34.57712563703434,54286.08725014392,9344.106750073028,1570.0
nll_loss_backward,46.49049442673308,72990.07624997094,72990.07624997094,1570.0
nll_loss_forward,28.625465286669357,44941.98050007089,44941.98050007089,1570.0
random_,14.786849998908123,147.86849998908122,147.86849998908122,10.0
reshape,19.41144530259459,60951.93825014701,15726.24849993292,3140.0
select,5.690100803754002,2276040.321501601,2276040.321501601,400000.0
set_,5.083453932499691,1016690.7864999382,1016690.7864999382,200000.0
slice,7.501807428337758,235556.75324980562,235556.75324980562,31400.0
stack,436.8354711783941,685831.6897500787,685831.6897500787,1570.0
sum,29.12809654986727,137193.33474987483,137193.33474987483,4710.0
tanh,379.5531401273476,2383593.719999743,2383593.719999743,6280.0
tanh_backward,283.0414513933632,1777500.3147503207,1777500.3147503207,6280.0
to,15.931722531874595,3211357.3107499625,2409664.1867509624,201570.0
torch::autograd::AccumulateGrad,16.103267786619213,252821.3042499216,67530.4587496116,15700.0
torch::autograd::GraphRoot,2.1401305732895333,3360.005000064568,3360.005000064568,1570.0
transpose,5.26263947812201,2105055.791248804,2105055.791248804,400000.0
unsigned short,9.297541390660552,218957.09975005602,218957.09975005602,23550.0
view,9.269073920589484,2217625.9355010344,2217625.9355010344,239250.0
zero_,7.065046861052426,110850.58524991258,110850.58524991258,15690.0
