Rank,Host/device,Type,Operation,#Occurrences,Total time (us),Avg. time (us),Total self-time (us),Avg. self-time (us),Total self-time on Device (%),Cumulative total-self time on Device (%),Total self-time on Host (%),Cumulative total-self time on Host (%)
1,Host,IDLE,IDLE,0,260278520.059,0.0,260278520.059,0.0,0.0,0.0,0.8989063385489177,0.8989063385489177
2,Host,CollectiveReduce,scoped_allocator_1_1_CollectiveReduce,1874,5246563.953,2799.6605939167553,5246563.953,2799.6605939167553,0.0,0.0,0.018119703431097207,0.9170260419800149
3,Host,CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,1874,3249950.217,1734.231705976521,3249950.217,1734.231705976521,0.0,0.0,0.011224133475814704,0.9282501754558297
4,Host,CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,1874,3194398.366,1704.58824226254,3194398.366,1704.58824226254,0.0,0.0,0.011032277801475131,0.9392824532573048
5,Host,CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,1874,3140561.045,1675.859682497332,3140561.045,1675.859682497332,0.0,0.0,0.010846343483551306,0.950128796740856
6,Host,CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,1874,3123616.207,1666.817613127001,3123616.207,1666.817613127001,0.0,0.0,0.010787822241458675,0.9609166189823147
7,Host,_FusedConv2D,sequential/conv2d/BiasAdd,937,2340776.85,2498.160992529349,2340776.85,2498.160992529349,0.0,0.0,0.008084182848114407,0.9690008018304291
8,Host,Conv2DBackpropFilter,gradient_tape/sequential/conv2d/Conv2DBackpropFilter,937,2267978.566,2420.468053361793,2267978.566,2420.468053361793,0.0,0.0,0.007832764333408505,0.9768335661638377
9,Host,Conv2DBackpropFilter,gradient_tape/sequential/conv2d_1/Conv2DBackpropFilter,937,1579398.722,1685.5909519743864,1579398.722,1685.5909519743864,0.0,0.0,0.005454662651301517,0.9822882288151392
10,Host,Conv2DBackpropInput,gradient_tape/sequential/conv2d_1/Conv2DBackpropInput,937,963573.117,1028.3597833511205,963573.117,1028.3597833511205,0.0,0.0,0.0033278273686599114,0.9856160561837991
11,Host,Dataset,Iterator::Prefetch::Generator,938,513700.327,547.6549328358209,513700.327,547.6549328358209,0.0,0.0,0.0017741321102881557,0.9873901882940873
12,Host,_FusedConv2D,sequential/conv2d_1/BiasAdd,937,435271.589,464.53744823906084,435271.589,464.53744823906084,0.0,0.0,0.0015032680770340424,0.9888934563711214
13,Host,AvgPool,sequential/average_pooling2d/AvgPool,937,369386.264,394.22226680896483,369386.264,394.22226680896483,0.0,0.0,0.0012757243817401304,0.9901691807528615
14,Host,AvgPoolGrad,gradient_tape/sequential/average_pooling2d/AvgPool/AvgPoolGrad,937,334816.974,357.3286808964781,334816.974,357.3286808964781,0.0,0.0,0.0011563347606023903,0.9913255155134639
15,Host,BiasAddGrad,gradient_tape/sequential/conv2d/BiasAdd/BiasAddGrad,937,308596.205,329.3449359658485,308596.205,329.3449359658485,0.0,0.0,0.0010657778623597534,0.9923912933758237
16,Host,MatMul,gradient_tape/sequential/dense/MatMul,937,214023.355,228.41339914621133,214023.355,228.41339914621133,0.0,0.0,0.0007391580002967394,0.9931304513761204
