Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddBackward0,1.759531526693088,117844.62400026957,117844.62400026957,66975.0
AddmmBackward,662.0852980567265,23338506.756499607,714417.0759982185,35250.0
LogSoftmaxBackward,63.67719234038543,74820.70099995288,12938.907999744188,1175.0
MmBackward,1806.9544468084882,2123171.4749999736,20750.523999982397,1175.0
MulBackward0,62.430473463630605,6308599.343499873,1006291.4399982635,101050.0
NllLossBackward,66.30511829791212,77908.51400004677,27802.27350018524,1175.0
ReluBackward0,22.106313191446404,25974.917999949517,8354.085000038547,1175.0
SelectBackward,291.37805319138965,342369.21249988285,36667.28150019262,1175.0
SigmoidBackward,29.084223495430358,2870612.858998976,639032.9164985953,98700.0
SliceBackward,241.71201893595867,568023.2444995029,241350.5549997359,2350.0
SplitBackward,78.2390878419431,2574065.989999928,269022.62399919797,32900.0
StackBackward,90.41355574458998,106235.92799989326,6941.104499781548,1175.0
TBackward,9.890939368577207,360277.4665004249,122670.41650001431,36425.0
TanhBackward,105.60372928572124,6948725.387000458,421410.7730007745,65800.0
TransposeBackward0,11.962294893484101,14055.69649984382,4612.509999852555,1175.0
UnbindBackward,2191.121055744702,2574567.2405000255,11477.827000187579,1175.0
UnsafeViewBackward,16.085879999800397,18900.908999765466,6782.97499968014,1175.0
_local_scalar_dense,1.760813699097035,264139.6630015462,264139.6630015462,150010.0
_log_softmax,72.0496897871042,84658.38549984744,84658.38549984744,1175.0
_log_softmax_backward_data,52.66535574485846,61881.793000208694,61881.793000208694,1175.0
_unsafe_view,20.56396127674764,24162.654500178473,24162.654500178473,1175.0
add,32.53638383374032,4128867.108501647,4128867.108501647,126900.0
add_,36.33130420207455,3457541.226998828,3457541.226998828,95167.0
addcdiv_,18.667405744771123,175473.61400084855,175473.61400084855,9400.0
addcmul_,14.652215691521956,137730.82750030636,137730.82750030636,9400.0
addmm,368.02065231206734,12972727.994000375,12972727.994000375,35250.0
bernoulli_,95.49091617035074,224403.6530003242,224403.6530003242,2350.0
cat,70.06210838907995,2305043.3660007296,2305043.3660007296,32900.0
chunk,23.19914255317,763251.7899992932,118148.93749774092,32900.0
contiguous,388.0281863829872,455933.11900000996,444289.7939999066,1175.0
cudnn_is_acceptable,2.2216727658697404,2610.4654998969454,2610.4654998969454,1175.0
detach,1.60412499999984,12.83299999999872,12.83299999999872,8.0
detach_,1.3398903662662685,14158.62150033566,14158.62150033566,10567.0
div,18.011104206416636,2870970.010502812,2870970.010502812,159400.0
div_,89.35811404245865,314987.3519996668,314987.3519996668,3525.0
dropout,188.70418148917005,443454.82649954956,33010.711999005616,2350.0
empty,4.499199736205696,1381479.2790019594,1381479.2790019594,307050.0
empty_like,11.480022411388145,40467.07900014321,19448.541499926083,3525.0
is_complex,0.8371999996304509,4.185999998152255,4.185999998152255,5.0
is_floating_point,1.823799999172985,18.23799999172985,18.23799999172985,10.0
item,3.709323521769922,556435.6215007058,292295.95849915966,150010.0
linear,500.936729875286,17069419.07050037,210492.29949910517,34075.0
log_softmax,79.13918297870192,92988.53999997476,8330.154500127333,1175.0
lstm,35615.71834510654,41848469.055500194,1092073.5170020445,1175.0
matmul,2764.9303851065633,3248793.202500212,29359.76449963147,1175.0
mm,370.53162980121084,26557854.566001788,26557854.566001788,71675.0
mul,31.167348822702966,9338516.891002376,9338516.891002376,299625.0
mul_,21.6141271276445,406345.5899997166,406345.5899997166,18800.0
narrow,17.915314335046254,336807.90949886956,74483.08799950255,18800.0
nll_loss,41.02012553202364,48198.64750012779,15620.739499904834,1175.0
nll_loss_backward,42.64360893605235,50106.24049986152,50106.24049986152,1175.0
nll_loss_forward,27.725879149125916,32577.908000222953,32577.908000222953,1175.0
random_,19.030199999392035,95.15099999696017,95.15099999696017,5.0
relu,29.47608638298221,34634.4015000041,34634.4015000041,1175.0
reshape,15.52751829795405,36489.66800019202,10489.288499843162,2350.0
select,5.340412197789173,1614673.6280015565,1614673.6280015565,302350.0
set_,4.77484272330836,716226.4084962539,716226.4084962539,150000.0
sigmoid_,61.11541046097656,6032091.012498385,6032091.012498385,98700.0
sigmoid_backward,22.6097258611994,2231579.942500381,2231579.942500381,98700.0
slice,12.84738608508192,301913.5729994251,301913.5729994251,23500.0
split,19.60798943773715,645102.8525015523,645102.8525015523,32900.0
sqrt,73.0219120212823,686405.9730000534,686405.9730000534,9400.0
stack,688.2463777872365,4043447.4695000155,4043447.4695000155,5875.0
sum,74.68283283456077,2720322.185998876,2720322.185998876,36425.0
tanh,162.7822632522666,5355536.46099957,5355536.46099957,32900.0
tanh_,118.91075693010428,3912163.903000431,3912163.903000431,32900.0
tanh_backward,99.19931024315628,6527314.613999683,6527314.613999683,65800.0
threshold_backward,14.996453616945505,17620.83299991097,17620.83299991097,1175.0
to,15.895119321983394,2402944.66350084,1728784.2350021391,151175.0
torch::autograd::AccumulateGrad,19.188673404311498,180373.5300005281,45480.85250118366,9400.0
torch::autograd::GraphRoot,2.722036170316012,3198.392500121314,3198.392500121314,1175.0
transpose,4.973493372860105,1509579.5759973633,1509579.5759973633,303525.0
unbind,48.31705638300683,227090.16500013205,227090.16500013205,4700.0
unsigned short,8.460262149915929,1520943.628001136,1520943.628001136,179775.0
view,9.618012337732935,2007760.0755017505,2007760.0755017505,208750.0
zero_,60.59109897801771,782655.2254990549,782655.2254990549,12917.0
zeros,170.77716113466965,601989.4929997105,19696.842499906677,3525.0
