Rank,Host/device,Type,Operation,#Occurrences,Total time (us),Avg. time (us),Total self-time (us),Avg. self-time (us),Total self-time on Device (%),Cumulative total-self time on Device (%),Total self-time on Host (%),Cumulative total-self time on Host (%)
1,Host,IDLE,IDLE,0,735923305.406,0.0,735923305.406,0.0,0.0,0.0,0.9033964680907738,0.9033964680907738
2,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul_1,26236,7730077.262,294.6362731361488,7730077.262,294.6362731361488,0.0,0.0,0.009489201449744798,0.9128856695405185
3,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul,26236,6791706.669,258.86974649336787,6791706.669,258.86974649336787,0.0,0.0,0.008337287013486025,0.9212229565540045
4,Host,MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul_1,26236,5381529.999,205.12006399603598,5381529.999,205.12006399603598,0.0,0.0,0.006606198170798557,0.9278291547248031
5,Host,CollectiveReduce,allreduce/CollectiveReduce_5,1874,5326419.342,2842.2728612593382,5326419.342,2842.2728612593382,0.0,0.0,0.00653854604927688,0.9343677007740799
6,Host,CollectiveReduce,allreduce/CollectiveReduce_6,1874,4747588.54,2533.3983671291357,4747588.54,2533.3983671291357,0.0,0.0,0.0058279914326372214,0.9401956922067172
7,Host,CollectiveReduce,allreduce/CollectiveReduce_4,1874,4696625.285,2506.203460512273,4696625.285,2506.203460512273,0.0,0.0,0.005765430532294475,0.9459611227390117
8,Host,CollectiveReduce,allreduce/CollectiveReduce_3,1874,3310529.339,1766.5578116328709,3310529.339,1766.5578116328709,0.0,0.0,0.004063902434389599,0.9500250251734013
9,Host,CollectiveReduce,allreduce/CollectiveReduce_1,1874,3296753.728,1759.2068986125935,3296753.728,1759.2068986125935,0.0,0.0,0.0040469919245147605,0.954072017097916
10,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_grad/MatMul_1,26236,3223340.101,122.8594336407989,3223340.101,122.8594336407989,0.0,0.0,0.003956871648591517,0.9580288887465075
11,Host,CollectiveReduce,allreduce/CollectiveReduce_2,1874,3191679.313,1703.1373068303096,3191679.313,1703.1373068303096,0.0,0.0,0.003918005853954954,0.9619468946004625
12,Host,CollectiveReduce,allreduce/CollectiveReduce,1874,3190343.703,1702.4246013874067,3190343.703,1702.4246013874067,0.0,0.0,0.003916366300827769,0.9658632609012903
13,Host,CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,1874,3178911.793,1696.3243292422626,3178911.793,1696.3243292422626,0.0,0.0,0.003902332845110758,0.969765593746401
14,Host,CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,1874,3171209.948,1692.2144866595518,3171209.948,1692.2144866595518,0.0,0.0,0.0038928783007041987,0.9736584720471052
15,Host,CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,1874,3150763.23,1681.3037513340448,3150763.23,1681.3037513340448,0.0,0.0,0.003867778548203417,0.9775262505953086
16,Host,CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,1874,3111064.656,1660.1198804695837,3111064.656,1660.1198804695837,0.0,0.0,0.0038190458184795568,0.9813452964137882
17,Host,AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_5,26236,1604491.751,61.15611186918737,1604491.751,61.15611186918737,0.0,0.0,0.0019696239679955698,0.9833149203817838
18,Host,MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul,26236,1086585.003,41.415802828175025,1086585.003,41.415802828175025,0.0,0.0,0.0013338578174923493,0.9846487781992762
19,Host,ConcatV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/split_grad/concat,26236,567512.889,21.6310752020125,567512.889,21.6310752020125,0.0,0.0,0.0006966611000799152,0.9853454392993561
20,Host,Split,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/split,26236,499380.815,19.03418261167861,499380.815,19.03418261167861,0.0,0.0,0.0006130242936856094,0.9859584635930417
21,Host,AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_4,26236,460050.357,17.535079928342736,460050.357,17.535079928342736,0.0,0.0,0.0005647434516677166,0.9865232070447094
22,Host,ReluGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/Relu_1_grad/ReluGrad,26236,450553.64,17.17310718097271,450553.64,17.17310718097271,0.0,0.0,0.0005530855784447392,0.9870762926231541
23,Host,BiasAdd,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/BiasAdd,26236,427328.422,16.287864842201557,427328.422,16.287864842201557,0.0,0.0,0.000524575026111758,0.9876008676492659
24,Host,ReluGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/Relu_grad/ReluGrad,26236,425609.762,16.222357142857142,425609.762,16.222357142857142,0.0,0.0,0.0005224652527665691,0.9881233329020325
25,Host,BiasAddGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/BiasAdd_grad/BiasAddGrad,26236,396854.793,15.12634521268486,396854.793,15.12634521268486,0.0,0.0,0.00048716655079065005,0.9886104994528231
26,Host,CollectiveBcastSend,CollectiveBcastSend,42,341079.157,8120.93230952381,341079.157,8120.93230952381,0.0,0.0,0.0004186981218147278,0.9890291975746378
27,Host,TensorListFromTensor,gradient_tape/sequential/lstm/TensorArrayV2Stack/TensorListFromTensor,937,319662.399,341.15517502668087,319662.399,341.15517502668087,0.0,0.0,0.0003924075785026351,0.9894216051531405
28,Host,AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add,26236,293085.692,11.1711271535295,293085.692,11.1711271535295,0.0,0.0,0.0003597828429345209,0.989781387996075
29,Host,Sigmoid,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/Sigmoid,26236,267335.474,10.189643009605122,267335.474,10.189643009605122,0.0,0.0,0.0003281726794529693,0.9901095606755279
30,Host,Dataset,Iterator::Prefetch::Generator,938,259780.43,276.95141791044773,259780.43,276.95141791044773,0.0,0.0,0.00031889834336966644,0.9904284590188975
31,Host,StridedSliceGrad,gradient_tape/sequential/lstm/strided_slice_3/StridedSliceGrad,937,249965.908,266.77258057630735,249965.908,266.77258057630735,0.0,0.0,0.00030685034265319543,0.9907353093615507
