Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,117,511.20467521367516
ArgMax,ArgMax_1,117,20.934547008547014
Assert,Assert,6,0.38766666666666666
AssignAddVariableOp,AssignAddVariableOp,117,8.504880341880343
AssignAddVariableOp,AssignAddVariableOp,117,6.404051282051282
AssignAddVariableOp,AssignAddVariableOp,117,5.785162393162392
AssignAddVariableOp,AssignAddVariableOp_1,117,2.5832478632478635
AssignAddVariableOp,AssignAddVariableOp_2,117,11.209666666666667
AssignAddVariableOp,AssignAddVariableOp_3,117,2.0816324786324785
AssignVariableOp,AssignVariableOp,6,10.1805
AvgPool,AvgPool,117,2255.736837606838
AvgPool,AvgPool,117,334.8472478632478
AvgPoolGrad,AvgPoolGrad,117,1857.4466324786324
AvgPoolGrad,AvgPoolGrad,117,535.2058803418803
_FusedConv2D,BiasAdd,117,13892.99258119658
_FusedConv2D,BiasAdd,117,2541.2702136752137
_FusedMatMul,BiasAdd,117,255.47260683760686
_FusedMatMul,BiasAdd,117,154.33164957264958
_FusedMatMul,BiasAdd,117,40.121162393162386
BiasAddGrad,BiasAddGrad,117,6422.789256410258
BiasAddGrad,BiasAddGrad,117,550.7772991452991
BiasAddGrad,BiasAddGrad,117,26.19064102564102
BiasAddGrad,BiasAddGrad,117,23.670846153846153
BiasAddGrad,BiasAddGrad,117,22.998982905982903
Cast,Cast,117,3.3266581196581195
Cast,Cast_1,117,4.79968376068376
Cast,Cast_2,117,2.744350427350428
CollectiveBcastSend,CollectiveBcastSend,12,2373.7670000000007
CollectiveReduce,CollectiveReduce,234,1623.2679230769231
CollectiveReduce,CollectiveReduce,234,1605.1822222222222
CollectiveReduce,CollectiveReduce,234,1594.2674401709405
CollectiveReduce,CollectiveReduce,234,1589.6494316239316
ConcatenateDataset,ConcatenateDataset,2,8.4745
Conv2DBackpropFilter,Conv2DBackpropFilter,117,19130.16815384616
Conv2DBackpropFilter,Conv2DBackpropFilter,117,9082.60641025641
Conv2DBackpropInput,Conv2DBackpropInput,117,5823.939914529915
Equal,Equal,117,6.85682905982906
Equal,Equal_1,117,3.354743589743589
Equal,Equal_2,117,2.959931623931624
Fill,Fill,3,36.287
FlushSummaryWriter,FlushSummaryWriter,1,1243.08
GatherV2,GatherV2,124,4689.734701612902
GatherV2,GatherV2_1,124,64.54781451612904
IDLE,IDLE,0,0.0
Identity,Identity,7,1.2521428571428572
Dataset,Iterator::Model,119,9.815336134453784
Dataset,Iterator::Model::Shard,119,18.059840336134453
Dataset,Iterator::Model::Shard::Prefetch,237,65.18791139240506
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,239,7.157092050209205
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,120,29.81609166666667
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,120,103.882625
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,124,13.351
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,124,9.55258870967742
