Type,Operation,#Occurrences,Avg. self-time (us)
AddN,AddN,13104,7.294911401098901
AddN,AddN_1,13104,3.941845848595849
AddN,AddN_2,13104,4.3605860805860805
AddN,AddN_4,13104,14.706092872405375
AddN,AddN_5,13104,59.26943238705738
ArgMax,ArgMax,468,15.563525641025642
Assert,Assert,21,0.5615238095238095
AssignAddVariableOp,AssignAddVariableOp,468,10.815818376068378
AssignAddVariableOp,AssignAddVariableOp,468,8.543358974358974
AssignAddVariableOp,AssignAddVariableOp,468,4.891264957264958
AssignAddVariableOp,AssignAddVariableOp_1,468,3.0389337606837605
AssignAddVariableOp,AssignAddVariableOp_2,468,11.95390811965812
AssignAddVariableOp,AssignAddVariableOp_3,468,3.461361111111111
AssignVariableOp,AssignVariableOp,21,13.943857142857144
BiasAdd,BiasAdd,13104,21.719131410256413
_FusedMatMul,BiasAdd,468,13.068155982905983
BiasAddGrad,BiasAddGrad,13104,20.34748885836386
BiasAddGrad,BiasAddGrad,468,11.174282051282052
BiasAddGrad,BiasAddGrad,468,10.586694444444444
Cast,Cast,468,20.35015598290598
Cast,Cast,468,6.7476730769230775
Cast,Cast,468,2.487089743589744
Cast,Cast,468,2.4308418803418803
Cast,Cast_1,468,3.5440705128205128
Cast,Cast_3,468,3.1863504273504275
Cast,Cast_4,468,2.9610000000000003
Cast,Cast_5,468,2.8328183760683765
CollectiveBcastSend,CollectiveBcastSend,42,2110.576642857143
CollectiveReduce,CollectiveReduce,936,2432.179044871795
CollectiveReduce,CollectiveReduce,936,2425.7776388888888
CollectiveReduce,CollectiveReduce,936,2417.3186645299147
CollectiveReduce,CollectiveReduce,936,2412.354250000001
CollectiveReduce,CollectiveReduce,936,2398.167576923077
CollectiveReduce,CollectiveReduce_1,936,2658.2433472222224
CollectiveReduce,CollectiveReduce_2,936,2487.1124102564104
CollectiveReduce,CollectiveReduce_3,936,2668.253699786325
CollectiveReduce,CollectiveReduce_4,936,3616.5943034188035
CollectiveReduce,CollectiveReduce_5,936,4175.171988247864
CollectiveReduce,CollectiveReduce_6,936,3749.454751068376
ConcatenateDataset,ConcatenateDataset,2,6.5329999999999995
Equal,Equal,468,4.473754273504273
Equal,Equal_1,468,4.780320512820513
Equal,Equal_2,468,6.011681623931624
Fill,Fill,17,44.53329411764707
FlushSummaryWriter,FlushSummaryWriter,1,3156.4829999999997
GatherV2,GatherV2,475,159.70212210526316
GatherV2,GatherV2_1,475,29.13449052631579
GreaterEqual,GreaterEqual,468,10.864514957264957
GreaterEqual,GreaterEqual,468,4.013066239316239
IDLE,IDLE,0,0.0
Identity,Identity,22,1.5451363636363638
Dataset,Iterator::Model,470,11.203455319148937
Dataset,Iterator::Model::Shard,470,21.398936170212764
Dataset,Iterator::Model::Shard::Prefetch,1408,13.58761150568182
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,1411,6.180060240963856
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,471,10.516953290870488
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,471,26.04853503184713
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,475,8.108044210526316
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,475,5.241031578947369
