Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,937,15.681589114194233
ArgMax,ArgMax_1,937,5.861021344717183
Assert,Assert,6,0.3105
AssignAddVariableOp,AssignAddVariableOp,937,3.038039487726788
AssignAddVariableOp,AssignAddVariableOp_1,937,1.010906083244397
AssignAddVariableOp,AssignAddVariableOp_2,937,4.735910352187833
AssignAddVariableOp,AssignAddVariableOp_3,937,1.1176638207043756
AssignAddVariableOp,AssignAddVariableOp_4,937,2.678398078975454
AssignAddVariableOp,SGD/SGD/AssignAddVariableOp,937,2.5138110992529348
AssignVariableOp,AssignVariableOp,6,7.046166666666667
AvgPool,sequential/average_pooling2d/AvgPool,937,521.4324418356457
AvgPool,sequential/average_pooling2d_1/AvgPool,937,97.79526787620064
AvgPoolGrad,gradient_tape/sequential/average_pooling2d/AvgPool/AvgPoolGrad,937,466.39812273212397
AvgPoolGrad,gradient_tape/sequential/average_pooling2d_1/AvgPool/AvgPoolGrad,937,132.44670651013874
BiasAddGrad,gradient_tape/sequential/conv2d/BiasAdd/BiasAddGrad,937,1068.1469348986125
BiasAddGrad,gradient_tape/sequential/conv2d_1/BiasAdd/BiasAddGrad,937,65.38398399146212
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,937,7.654305229455709
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,937,6.838273212379937
BiasAddGrad,gradient_tape/sequential/dense_2/BiasAdd/BiasAddGrad,937,4.706262540021345
Cast,Cast_1,937,2.0754258271077908
Cast,Cast_2,937,2.5012027748132337
Cast,categorical_crossentropy/weighted_loss/num_elements/Cast,937,2.07731696905016
ConcatenateDataset,ConcatenateDataset,2,13.0965
Conv2DBackpropFilter,gradient_tape/sequential/conv2d/Conv2DBackpropFilter,937,3902.3433852721446
Conv2DBackpropFilter,gradient_tape/sequential/conv2d_1/Conv2DBackpropFilter,937,1833.1403970117394
Conv2DBackpropInput,gradient_tape/sequential/conv2d_1/Conv2DBackpropInput,937,983.1347886873
Dataset,Iterator::Model,937,12.937275346851655
Dataset,Iterator::Model::ParallelMapV2,937,21.405230522945573
Dataset,Iterator::Model::ParallelMapV2::Zip,941,7.178056323060575
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap,941,4.3697651434644005
