Type,Operation,#Occurrences,Avg. self-time (us)
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN,3276,24.32292704517705
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_1,3276,12.516164224664225
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_2,3276,9.2602615995116
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_4,3276,18.130265262515266
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_5,3276,69.05519658119657
AddV2,Adam/add,117,10.34462393162393
AddV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/add,3276,1.408030525030525
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add,3276,2.7619789377289377
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add_1,3276,2.625721916971917
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add,3276,74.41589072039072
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add_1,3276,20.1424768009768
ArgMax,ArgMax,117,18.27283760683761
Assert,Assert,21,0.6029047619047618
AssignAddVariableOp,Adam/Adam/update_0/AssignAddVariableOp,117,7.606529914529915
AssignAddVariableOp,AssignAddVariableOp,117,8.773880341880343
AssignAddVariableOp,AssignAddVariableOp_1,117,3.0274444444444444
AssignAddVariableOp,AssignAddVariableOp_2,117,13.79568376068376
AssignAddVariableOp,AssignAddVariableOp_3,117,2.583504273504273
AssignAddVariableOp,update_0/AssignAddVariableOp,117,10.74565811965812
AssignVariableOp,AssignVariableOp,21,13.562476190476193
BiasAdd,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/BiasAdd,3276,89.85675335775335
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,117,31.700888888888887
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,117,20.0962735042735
BiasAddGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/BiasAdd_grad/BiasAddGrad,3276,146.57090689865692
Cast,Adam/Cast_1,117,3.676282051282051
Cast,ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_float_Cast,117,6.866461538461539
Cast,Cast,117,3.797589743589744
Cast,Cast_3,117,5.157333333333334
Cast,Cast_4,117,4.037410256410257
Cast,Cast_5,117,7.2263247863247875
Cast,sequential/dropout/dropout/Cast,117,84.0815982905983
Cast,sequential/dropout_1/dropout/Cast,117,22.502658119658122
Cast,sparse_categorical_crossentropy/ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_int64_Cast,117,5.5711111111111125
Cast,sparse_categorical_crossentropy/weighted_loss/num_elements/Cast,117,2.5816923076923075
CollectiveBcastSend,CollectiveBcastSend,42,1903.6231666666665
CollectiveReduce,allreduce/CollectiveReduce,234,2962.5842564102563
CollectiveReduce,allreduce/CollectiveReduce_1,234,3270.246123931624
CollectiveReduce,allreduce/CollectiveReduce_2,234,3080.246123931624
CollectiveReduce,allreduce/CollectiveReduce_3,234,3277.390794871795
CollectiveReduce,allreduce/CollectiveReduce_4,234,4494.005551282052
CollectiveReduce,allreduce/CollectiveReduce_5,234,5066.513102564103
CollectiveReduce,allreduce/CollectiveReduce_6,234,4624.919205128205
CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,234,3032.658863247864
CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,234,3062.6143504273505
CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,234,3060.6865641025643
CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,234,3024.8687307692308
ConcatV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/split_grad/concat,3276,102.60911935286934
ConcatenateDataset,ConcatenateDataset,2,9.2355
Dataset,Iterator::Model,119,10.400512605042016
Dataset,Iterator::Model::Shard,119,18.21306722689076
Dataset,Iterator::Model::Shard::Prefetch,355,149.55314366197183
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,358,6.512843575418994
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,120,11.710783333333335
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,120,479.89155
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,124,11.277016129032257
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,124,12.57792741935484
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1172.046
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,2147.5016666666666
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,40.79533333333333
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,4.207
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,119,6.5851596638655465
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,118,34.410355932203395
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[1]::FromTensor,2,2.705
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate,6,4.922833333333333
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate[0]::TensorSlice,6,12.045166666666667
