Rank,Host/device,Type,Operation,#Occurrences,Total time (us),Avg. time (us),Total self-time (us),Avg. self-time (us),Total self-time on Device (%),Cumulative total-self time on Device (%),Total self-time on Host (%),Cumulative total-self time on Host (%)
1,Host,IDLE,IDLE,0,92038217.817,0.0,92038217.817,0.0,0.0,0.0,0.8878597070490246,0.8878597070490246
2,Host,CollectiveReduce,scoped_allocator_1_8_CollectiveReduce,1570,2296311.946,1462.6190738853504,2296311.946,1462.6190738853504,0.0,0.0,0.022151698501186718,0.9100114055502113
3,Host,CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,1570,1709206.586,1088.6666152866242,1709206.586,1088.6666152866242,0.0,0.0,0.016488103471859333,0.9264995090220707
4,Host,CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,1570,1694948.383,1079.5849573248406,1694948.383,1079.5849573248406,0.0,0.0,0.016350559696687632,0.9428500687187583
5,Host,CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,1570,1680712.555,1070.517550955414,1680712.555,1070.517550955414,0.0,0.0,0.016213231765123255,0.9590633004838816
6,Host,CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,1570,1672424.55,1065.238566878981,1672424.55,1065.238566878981,0.0,0.0,0.016133280350745027,0.9751965808346266
7,Host,FusedBatchNormGradV3,gradient_tape/sequential/NORM2D/FusedBatchNormGradV3,785,799840.973,1018.905698089172,799840.973,1018.905698089172,0.0,0.0,0.007715779257977098,0.9829123600926036
8,Host,FusedBatchNormV3,sequential/NORM2D/FusedBatchNormV3,785,342826.149,436.72120891719743,342826.149,436.72120891719743,0.0,0.0,0.0033071210138497942,0.9862194811064534
9,Host,Dataset,Iterator::Prefetch::Generator,786,233657.707,297.27443638676846,233657.707,297.27443638676846,0.0,0.0,0.0022540121724135406,0.9884734932788669
10,Host,GatherV2,GatherV2,785,149137.746,189.98438980891723,149137.746,189.98438980891723,0.0,0.0,0.0014386783948466928,0.9899121716737136
11,Host,MatMul,gradient_tape/sequential/FINAL_DENSE/MatMul_1,785,109809.923,139.88525222929937,109809.923,139.88525222929937,0.0,0.0,0.0010592969787801333,0.9909714686524937
12,Host,CollectiveReduce,CollectiveReduce,32,98641.419,3082.54434375,98641.419,3082.54434375,0.0,0.0,0.000951558422723648,0.9919230270752174
13,Host,CollectiveBcastSend,CollectiveBcastSend,24,77264.009,3219.3337083333336,77264.009,3219.3337083333336,0.0,0.0,0.0007453382086620809,0.9926683652838795
14,Host,MatMul,gradient_tape/sequential/FINAL_DENSE/MatMul,785,72225.896,92.00751082802547,72225.896,92.00751082802547,0.0,0.0,0.0006967373378678002,0.9933651026217473
15,Host,_FusedMatMul,sequential/FINAL_DENSE/BiasAdd,785,68422.844,87.16285859872612,68422.844,87.16285859872612,0.0,0.0,0.0006600506579787364,0.994025153279726
16,Host,IteratorGetNext,IteratorGetNext,785,45695.325,58.210605095541396,45695.325,58.210605095541396,0.0,0.0,0.0004408064261813233,0.9944659597059072
17,Host,MultiDeviceIteratorGetNextFromShard,MultiDeviceIteratorGetNextFromShard,786,35111.969,44.671716284987276,35111.969,44.671716284987276,0.0,0.0,0.00033871258320362994,0.9948046722891108
18,Host,SoftmaxCrossEntropyWithLogits,categorical_crossentropy/softmax_cross_entropy_with_logits,785,33298.497,42.418467515923574,33298.497,42.418467515923574,0.0,0.0,0.00032121866864453895,0.9951258909577554
19,Host,AutoShardDataset,AutoShardDataset,1,31602.122,31602.122,31546.13,31546.13,0.0,0.0,0.00030431421212457574,0.99543020516988
