Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
TBackward,7.884120754718619,2089.292000000434,602.3120000017079,265
AsStridedBackward,109.63785283019126,29054.031000000687,17185.758000002148,265
item,7.652066666664623,229.56199999993868,102.22100000049073,30
NllLossBackward,37.20893962263982,9860.368999999551,3529.7960000000785,265
as_strided,6.591161006289834,5239.973000000418,5239.973000000418,795
flatten,18.245309433960884,4835.006999999634,1042.7939999989085,265
cat,8.44962641509658,2239.1510000005937,2239.1510000005937,265
div_,29.050860377359392,7698.478000000239,7698.478000000239,265
empty,5.552196226413345,1471.3319999995365,1471.3319999995365,265
native_batch_norm_backward,433.27012830189,114816.58400000085,114816.58400000085,265
zeros,33.99336981131681,9008.242999998954,1007.4280000006038,265
native_batch_norm,370.1971999999992,98102.2579999998,98102.2579999998,265
reshape,14.310237735851794,3792.2130000007255,1412.2699999998913,265
NativeBatchNormBackward,448.46486792453396,118843.1900000015,4026.606000000662,265
narrow,8.18571732418624,23861.36600000289,7830.788000004466,2915
stack,87.72950943396364,46496.64000000073,46496.64000000073,530
nll_loss,25.587366037744477,6780.6520000022865,977.1250000023465,265
LogSoftmaxBackward,31.96641886791873,8471.100999998464,1917.7569999980042,265
AddmmBackward,231.59127547169567,61371.687999999354,4714.159000002415,265
unsigned short,6.979588679244186,9247.954999998547,9247.954999998547,1325
nll_loss_backward,23.888954716979143,6330.572999999473,6330.572999999473,265
zero_,9.15763890991715,12097.241000000555,12097.241000000555,1321
nll_loss_forward,21.900101886792225,5803.52699999994,5803.52699999994,265
_log_softmax,33.79676603773984,8956.143000001059,8956.143000001059,265
log_softmax,37.461147169812286,9927.204000000256,971.0609999991975,265
add_,7.541616547669422,17956.589000000895,17956.589000000895,2381
_log_softmax_backward_data,24.729600000001735,6553.344000000459,6553.344000000459,265
torch::autograd::GraphRoot,2.0203358490582484,535.3890000004358,535.3890000004358,265
batch_norm,379.3377509433878,100524.50399999776,1115.8799999964613,265
mm,96.36893396226004,51075.53499999782,51075.53499999782,530
torch::autograd::AccumulateGrad,10.744873584903285,11389.565999997481,2906.8689999994604,1060
_local_scalar_dense,4.244699999981598,127.34099999944794,127.34099999944794,30
sum,21.37069811320663,5663.234999999757,5663.234999999757,265
contiguous,0.8820553459132555,701.2340000010381,701.2340000010381,795
is_floating_point,1.705099999997653,51.15299999992959,51.15299999992959,30
random_,15.788600000008103,78.94300000004051,78.94300000004051,5
view,5.9937308176091815,23825.079999996495,23825.079999996495,3975
detach_,0.9344876893920131,986.8189999979659,986.8189999979659,1056
addmm,208.37731698113174,55219.988999999914,55219.988999999914,265
slice,5.499340651800488,16030.577999998424,16030.577999998424,2915
select,2.7931510497895555,46561.82799999189,46561.82799999189,16670
_batch_norm_impl_index,375.12688301887283,99408.6240000013,1306.366000001497,265
is_complex,1.1291999999699214,5.645999999849607,5.645999999849607,5
