Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddmmBackward,368.09761156030925,2595088.1615001797,162773.4239994499,7050.0
AvgPool2DBackward,952.2209073404432,4475438.264500083,46130.76299961743,4700.0
LogSoftmaxBackward,69.0922970211327,162366.8979996618,24584.70999949753,2350.0
MkldnnConvolutionBackward,8158.263445957526,38343838.19600038,77223.80149994433,4700.0
NllLossBackward,70.57758319144608,165857.32049989828,53666.72699973211,2350.0
TBackward,9.454966524811043,66657.51399991785,23868.467000475317,7050.0
TanhBackward,282.99637595748004,2660165.934000312,91641.68849999481,9400.0
ViewBackward,19.272767872304094,45291.00449991463,12520.433000150166,2350.0
_convolution,1699.2053200000885,7986265.004000416,89713.61049987757,4700.0
_local_scalar_dense,1.8441593843704474,553284.6984988215,553284.6984988215,300020.0
_log_softmax,78.32044425538555,184053.04400015605,184053.04400015605,2350.0
_log_softmax_backward_data,58.630718297942266,137782.18800016431,137782.18800016431,2350.0
add_,10.684050478820257,502043.5319997639,502043.5319997639,46990.0
addmm,143.08848475186988,1008773.8175006828,1008773.8175006828,7050.0
avg_pool2d,595.6228876595658,2799427.5719999587,2799427.5719999587,4700.0
avg_pool2d_backward,942.4058513830778,4429307.501500466,4429307.501500466,4700.0
contiguous,1.35503514187198,19105.99550039492,19105.99550039492,14100.0
conv2d,1708.9743222340321,8032179.31449995,23072.01400007844,4700.0
convolution,1704.0653830850792,8009107.300499871,22842.296499456344,4700.0
detach,2.1683500000002827,21.683500000002823,21.683500000002823,10.0
detach_,1.4654144543570864,37866.309500587115,37866.309500587115,25840.0
div,19.030655739997258,5709196.721999177,5709196.721999177,300000.0
div_,101.62750936188763,238824.64700043597,238824.64700043597,2350.0
empty,4.435932242493657,2661559.3454961944,2661559.3454961944,600000.0
flatten,17.46150787239268,82069.0870002456,21497.38500033907,4700.0
is_complex,0.6527500025391589,6.527500025391589,6.527500025391589,10.0
is_floating_point,2.1173250003855686,42.34650000771137,42.34650000771137,20.0
item,3.813004501346906,1143977.610494099,590692.9119952774,300020.0
log_softmax,84.61839680839876,198853.2324997371,14800.188499581065,2350.0
mkldnn_convolution,1676.0522123404558,7877445.3980001435,7877445.3980001435,4700.0
mkldnn_convolution_backward,8141.83284989371,38266614.394500434,38266614.394500434,4700.0
mm,158.2283886879079,2231020.280499502,2231020.280499502,14100.0
narrow,11.580885383001284,544301.6130010604,180604.94800325815,47000.0
nll_loss,35.40551808511906,83202.9675000298,14217.646499679471,2350.0
nll_loss_backward,47.740678085177095,112190.59350016619,112190.59350016619,2350.0
nll_loss_forward,29.355455744829925,68985.32100035033,68985.32100035033,2350.0
random_,17.790949998963626,177.90949998963623,177.90949998963623,10.0
reshape,19.860058191419363,93342.27349967098,24258.186999482357,4700.0
select,5.755637504988347,3453382.502993008,3453382.502993008,600000.0
set_,5.121275696668542,1536382.7090005628,1536382.7090005628,300000.0
slice,7.738226914846856,363696.66499780223,363696.66499780223,47000.0
stack,447.23836170205766,1051010.1499998353,1051010.1499998353,2350.0
sum,29.58820539008649,208596.84800010978,208596.84800010978,7050.0
tanh,353.1367879787249,3319485.807000014,3319485.807000014,9400.0
tanh_backward,273.2472601596082,2568524.2455003173,2568524.2455003173,9400.0
to,16.46831362162606,4979194.623498639,3745141.8960015196,302350.0
torch::autograd::AccumulateGrad,16.15469187232986,379635.2589997517,100682.0434996392,23500.0
torch::autograd::GraphRoot,2.3035785106112288,5413.409499936388,5413.409499936388,2350.0
transpose,5.201497169161438,3120898.3014968624,3120898.3014968624,600000.0
unsigned short,9.650299063859752,340173.04200105625,340173.04200105625,35250.0
view,9.425466829263446,3381386.224998261,3381386.224998261,358750.0
zero_,7.482428714336218,175762.25049975776,175762.25049975776,23490.0
