Rank,Host/device,Type,Operation,#Occurrences,Total time (us),Avg. time (us),Total self-time (us),Avg. self-time (us),Total self-time on Device (%),Cumulative total-self time on Device (%),Total self-time on Host (%),Cumulative total-self time on Host (%)
1,Host,IDLE,IDLE,0,105594538.272,0.0,105594538.272,0.0,0.0,0.0,0.9054532979898575,0.9054532979898575
2,Host,Conv2DBackpropFilter,gradient_tape/sequential/conv2d/Conv2DBackpropFilter,117,2238229.674,19130.168153846156,2238229.674,19130.168153846156,0.0,0.0,0.01919239832993759,0.9246456963197951
3,Host,_FusedConv2D,sequential/conv2d/BiasAdd,117,1625480.132,13892.99258119658,1625480.132,13892.99258119658,0.0,0.0,0.013938186296579112,0.9385838826163742
4,Host,Conv2DBackpropFilter,gradient_tape/sequential/conv2d_1/Conv2DBackpropFilter,117,1062664.95,9082.60641025641,1062664.95,9082.60641025641,0.0,0.0,0.00911215200503289,0.9476960346214071
5,Host,BiasAddGrad,gradient_tape/sequential/conv2d/BiasAdd/BiasAddGrad,117,751466.343,6422.789256410257,751466.343,6422.789256410257,0.0,0.0,0.006443682502262057,0.9541397171236691
6,Host,Conv2DBackpropInput,gradient_tape/sequential/conv2d_1/Conv2DBackpropInput,117,681400.97,5823.939914529914,681400.97,5823.939914529914,0.0,0.0,0.00584288511164018,0.9599826022353093
7,Host,CollectiveReduce,scoped_allocator_1_1_CollectiveReduce,234,624342.471,2668.130217948718,624342.471,2668.130217948718,0.0,0.0,0.005353619218315085,0.9653362214536244
8,Host,GatherV2,GatherV2,124,581527.103,4689.734701612903,581527.103,4689.734701612903,0.0,0.0,0.00498648549345908,0.9703227069470834
9,Host,CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,234,379844.694,1623.2679230769231,379844.694,1623.2679230769231,0.0,0.0,0.0032570967829824485,0.9735798037300659
10,Host,CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,234,375612.64,1605.1822222222222,375612.64,1605.1822222222222,0.0,0.0,0.0032208077161966216,0.9768006114462625
11,Host,CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,234,373058.581,1594.2674401709403,373058.581,1594.2674401709403,0.0,0.0,0.0031989071408197616,0.9799995185870822
12,Host,CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,234,371977.967,1589.6494316239316,371977.967,1589.6494316239316,0.0,0.0,0.003189641079088106,0.9831891596661704
13,Host,_FusedConv2D,sequential/conv2d_1/BiasAdd,117,297328.615,2541.2702136752137,297328.615,2541.2702136752137,0.0,0.0,0.002549536931020358,0.9857386965971907
14,Host,AvgPool,sequential/average_pooling2d/AvgPool,117,263921.21,2255.736837606838,263921.21,2255.736837606838,0.0,0.0,0.0022630747187739717,0.9880017713159647
15,Host,AvgPoolGrad,gradient_tape/sequential/average_pooling2d/AvgPool/AvgPoolGrad,117,217321.256,1857.4466324786324,217321.256,1857.4466324786324,0.0,0.0,0.0018634888810406948,0.9898652601970054
16,Host,Dataset,Iterator::Prefetch::Generator,118,161283.421,1366.808652542373,161283.421,1366.808652542373,0.0,0.0,0.0013829749894768936,0.9912482351864823
17,Host,MatMul,gradient_tape/sequential/dense/MatMul_1,117,94808.712,810.3308717948718,94808.712,810.3308717948718,0.0,0.0,0.0008129668670688591,0.9920612020535512
18,Host,Tanh,sequential/conv2d/Tanh,117,92436.707,790.0573247863248,92436.707,790.0573247863248,0.0,0.0,0.0007926273704884007,0.9928538294240395
19,Host,MatMul,gradient_tape/sequential/dense_1/MatMul_1,117,68989.097,589.6504017094016,68989.097,589.6504017094016,0.0,0.0,0.0005915685264240234,0.9934453979504636
20,Host,MatMul,gradient_tape/sequential/dense/MatMul,117,65954.559,563.7141794871794,65954.559,563.7141794871794,0.0,0.0,0.0005655479340246519,0.9940109458844882
21,Host,BiasAddGrad,gradient_tape/sequential/conv2d_1/BiasAdd/BiasAddGrad,117,64440.944,550.7772991452991,64440.944,550.7772991452991,0.0,0.0,0.0005525689701874634,0.9945635148546758
22,Host,AvgPoolGrad,gradient_tape/sequential/average_pooling2d_1/AvgPool/AvgPoolGrad,117,62619.088,535.2058803418804,62619.088,535.2058803418804,0.0,0.0,0.0005369468977710529,0.9951004617524468
23,Host,ArgMax,ArgMax,117,59810.947,511.2046752136752,59810.947,511.2046752136752,0.0,0.0,0.000512867617049914,0.9956133293694968
24,Host,TanhGrad,gradient_tape/sequential/conv2d/TanhGrad,117,47166.349,403.131188034188,47166.349,403.131188034188,0.0,0.0,0.0004044425682906273,0.9960177719377874
25,Host,MatMul,gradient_tape/sequential/dense_1/MatMul,117,43129.271,368.62624786324784,43129.271,368.62624786324784,0.0,0.0,0.0003698253840199179,0.9963875973218074
26,Host,AvgPool,sequential/average_pooling2d_1/AvgPool,117,39177.128,334.84724786324784,39177.128,334.84724786324784,0.0,0.0,0.0003359365013936238,0.996723533823201
27,Host,Tanh,sequential/conv2d_1/Tanh,117,34338.175,293.48867521367526,34338.175,293.48867521367526,0.0,0.0,0.0002944433898713045,0.9970179772130723
28,Host,_FusedMatMul,sequential/dense/BiasAdd,117,29890.295,255.47260683760683,29890.295,255.47260683760683,0.0,0.0,0.00025630365574330323,0.9972742808688155
29,Host,CollectiveBcastSend,CollectiveBcastSend,12,28485.204,2373.7670000000003,28485.204,2373.7670000000003,0.0,0.0,0.00024425526478724164,0.9975185361336028
30,Host,_FusedMatMul,sequential/dense_1/BiasAdd,117,18056.803,154.33164957264958,18056.803,154.33164957264958,0.0,0.0,0.00015483368832380697,0.9976733698219266
31,Host,SoftmaxCrossEntropyWithLogits,categorical_crossentropy/softmax_cross_entropy_with_logits,117,16152.483,138.05541025641025,16152.483,138.05541025641025,0.0,0.0,0.0001385045026230607,0.9978118743245497
32,Host,Dataset,Iterator::Model::Shard::Prefetch,237,15449.535,65.18791139240506,15449.535,65.18791139240506,0.0,0.0,0.00013247685578326058,0.9979443511803329
