Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddBackward0,1.6564228289467562,18883.22024999302,18883.22024999302,11400.0
AddmmBackward,2125.3319339167037,12751991.603500225,125533.1182495351,6000.0
LogSoftmaxBackward,812.4696037500953,162493.92075001905,2107.123000029169,200.0
MmBackward,9428.175381250003,1885635.0762500004,6459.163249937512,200.0
MulBackward0,105.1084835610613,1807865.9172502547,167971.97975034674,17200.0
NllLossBackward,70.88937000036007,14177.874000072014,4405.752500071525,200.0
ReluBackward0,30.408611250196266,6081.722250039253,1622.2772500175997,200.0
SelectBackward,870.032224999975,174006.444999995,12752.912749937663,200.0
SigmoidBackward,42.96179592261264,721758.1714998924,95372.43124966843,16800.0
SliceBackward,699.3972531250422,279758.9012500169,114480.33800001247,400.0
SplitBackward,276.84768473216275,1550347.0345001114,44477.14750018747,5600.0
StackBackward,88.88851749991035,17777.703499982068,1160.3777499250427,200.0
TBackward,10.040405806424417,62250.515999831376,20242.109749914773,6200.0
TanhBackward,252.30493660717005,2825815.2900003046,67538.5495001365,11200.0
TransposeBackward0,13.963277499879151,2792.65549997583,926.0547499962851,200.0
UnbindBackward,11038.945687500094,2207789.137500019,2226.3882500013424,200.0
UnsafeViewBackward,15.460427500083387,3092.0855000166775,1241.4282500578556,200.0
_local_scalar_dense,1.64124650785211,164141.06325028947,164141.06325028947,100010.0
_log_softmax,123.13135375001858,24626.270750003714,24626.270750003714,200.0
_log_softmax_backward_data,801.9339887499494,160386.7977499899,160386.7977499899,200.0
_unsafe_view,36.185012500209666,7237.002500041934,7237.002500041934,200.0
add,45.5681921065072,984272.9495005554,984272.9495005554,21600.0
add_,73.57810083685024,1191376.6087502793,1191376.6087502793,16192.0
addcdiv_,19.13185937498271,30610.974999972343,30610.974999972343,1600.0
addcmul_,18.510180937489075,29616.289499982522,29616.289499982522,1600.0
addmm,711.0248820833401,4266149.2925000405,4266149.2925000405,6000.0
bernoulli_,146.25636000012452,58502.54400004981,58502.54400004981,400.0
cat,268.9053369642721,1505869.8869999237,1505869.8869999237,5600.0
chunk,20.515972857125945,114889.4479999053,14528.791999746136,5600.0
contiguous,670.1109875000868,134022.19750001738,132091.27725001605,200.0
cudnn_is_acceptable,2.031180000140721,406.2360000281442,406.2360000281442,200.0
detach,1.5373125000014625,12.298500000011702,12.298500000011702,8.0
detach_,0.7582903180650991,1358.8562499726577,1358.8562499726577,1792.0
div,17.104315351868266,1737798.439749816,1737798.439749816,101600.0
div_,255.10841833336923,153065.05100002154,153065.05100002154,600.0
dropout,268.24450875009256,107297.80350003703,4119.463999957108,400.0
empty,3.653872437870895,735159.1344996239,735159.1344996239,201200.0
empty_like,9.374044583320146,5624.426749992086,2351.072000011747,600.0
is_complex,0.8565999985769395,4.282999992884697,4.282999992884697,5.0
is_floating_point,2.2293500008538363,22.29350000853836,22.29350000853836,10.0
item,3.1676150284919817,316793.1789994831,152652.11574919362,100010.0
linear,1044.0436555172423,6055453.202000005,25460.506749886918,5800.0
log_softmax,127.83831125005469,25567.662250010937,941.3915000072229,200.0
lstm,71617.92646624995,14323585.293249987,145198.7677498968,200.0
matmul,7187.507056250068,1437501.4112500134,6067.444499955156,200.0
mm,1280.719122848383,15624773.298750268,15624773.298750268,12200.0
mul,54.97620841666138,2803786.62924973,2803786.62924973,51000.0
mul_,27.905454140633253,89297.45325002642,89297.45325002642,3200.0
narrow,16.029176406222028,51293.364499910494,9967.754749812295,3200.0
nll_loss,33.04553125009592,6609.106250019184,827.1892500337126,200.0
nll_loss_backward,48.860607500002445,9772.121500000489,9772.121500000489,200.0
nll_loss_forward,28.909584999927354,5781.916999985471,5781.916999985471,200.0
random_,14.590450000116974,72.95225000058487,72.95225000058487,5.0
relu,37.894546250001916,7578.909250000383,7578.909250000383,200.0
reshape,17.603514374909402,7041.40574996376,1602.0574999528908,400.0
select,4.890628943365988,980082.040250544,980082.040250544,200400.0
set_,4.21572168000416,421572.168000416,421572.168000416,100000.0
sigmoid_,121.17099941964017,2035672.790249955,2035672.790249955,16800.0
sigmoid_backward,37.28486549108476,626385.7402502239,626385.7402502239,16800.0
slice,12.017387062537289,48069.548250149164,48069.548250149164,4000.0
split,17.921545714314135,100360.65600015916,100360.65600015916,5600.0
sqrt,68.13855156244821,109021.68249991714,109021.68249991714,1600.0
stack,3045.5825895000216,3045582.5895000217,3045582.5895000217,1000.0
sum,172.96532169354163,1072384.9944999581,1072384.9944999581,6200.0
tanh,242.3695349107258,1357269.3955000644,1357269.3955000644,5600.0
tanh_,377.18886968750667,2112257.6702500368,2112257.6702500368,5600.0
tanh_backward,246.27470897322928,2758276.7405001684,2758276.7405001684,11200.0
threshold_backward,22.297225000108266,4459.445000021653,4459.445000021653,200.0
to,13.715413682630523,1374284.4509995785,1028598.4469997142,100200.0
torch::autograd::AccumulateGrad,20.505995624949506,32809.592999919216,7728.186249886094,1600.0
torch::autograd::GraphRoot,2.1408350000058634,428.1670000011727,428.1670000011727,200.0
transpose,4.7848881368380844,959848.5602497198,959848.5602497198,200600.0
unbind,55.41212781257967,44329.70225006373,44329.70225006373,800.0
unsigned short,8.93987874184559,273560.28950047505,273560.28950047505,30600.0
view,8.5479421090984,940273.6320008241,940273.6320008241,110000.0
zero_,149.4076685675503,327501.6095000703,327501.6095000703,2192.0
zeros,534.3616129166877,320616.96775001264,2279.9600000006394,600.0
