Rank,Host/device,Type,Operation,#Occurrences,Total time (us),Avg. time (us),Total self-time (us),Avg. self-time (us),Total self-time on Device (%),Cumulative total-self time on Device (%),Total self-time on Host (%),Cumulative total-self time on Host (%)
1,Host,IDLE,IDLE,0,634491781.065,0.0,634491781.065,0.0,0.0,0.0,0.8918280103538622,0.8918280103538622
2,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul_1,26236,7974891.642,303.96751189205673,7974891.642,303.96751189205673,0.0,0.0,0.011209336287909925,0.903037346641772
3,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul,26236,6625862.707,252.54850994816283,6625862.707,252.54850994816283,0.0,0.0,0.00931317021150871,0.9123505168532807
4,Host,CollectiveReduce,allreduce/CollectiveReduce_5,1874,5720756.557,3052.6982694770545,5720756.557,3052.6982694770545,0.0,0.0,0.008040972460485594,0.9203914893137664
5,Host,CollectiveReduce,allreduce/CollectiveReduce_6,1874,4920702.167,2625.774902347919,4920702.167,2625.774902347919,0.0,0.0,0.006916433205444437,0.9273079225192108
6,Host,CollectiveReduce,allreduce/CollectiveReduce_4,1874,4741508.377,2530.153883137674,4741508.377,2530.153883137674,0.0,0.0,0.006664562265626705,0.9339724847848375
7,Host,CollectiveReduce,allreduce/CollectiveReduce_3,1874,3882108.495,2071.562697438634,3882108.495,2071.562697438634,0.0,0.0,0.005456608262541066,0.9394290930473785
8,Host,CollectiveReduce,allreduce/CollectiveReduce_1,1874,3847292.272,2052.98413660619,3847292.272,2052.98413660619,0.0,0.0,0.005407671327796208,0.9448367643751747
9,Host,CollectiveReduce,allreduce/CollectiveReduce_2,1874,3474126.325,1853.8560965848453,3474126.325,1853.8560965848453,0.0,0.0,0.004883157293136505,0.9497199216683112
10,Host,CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,1874,3398260.634,1813.372803628602,3398260.634,1813.372803628602,0.0,0.0,0.0047765221084457195,0.9544964437767569
11,Host,CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,1874,3389004.542,1808.4335869797226,3389004.542,1808.4335869797226,0.0,0.0,0.004763511944471402,0.9592599557212284
