Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,468,30.75885256410257
ArgMax,ArgMax_1,468,8.112570512820513
Assert,Assert,6,0.6775000000000001
AssignAddVariableOp,AssignAddVariableOp,468,7.4644658119658125
AssignAddVariableOp,AssignAddVariableOp,468,4.69659829059829
AssignAddVariableOp,AssignAddVariableOp,468,4.601416666666667
AssignAddVariableOp,AssignAddVariableOp_1,468,1.9498376068376069
AssignAddVariableOp,AssignAddVariableOp_2,468,7.3256474358974355
AssignAddVariableOp,AssignAddVariableOp_3,468,1.993508547008547
AssignVariableOp,AssignVariableOp,6,14.265
AvgPool,AvgPool,468,726.0804081196582
AvgPool,AvgPool,468,141.85341666666667
AvgPoolGrad,AvgPoolGrad,468,654.2397756410257
AvgPoolGrad,AvgPoolGrad,468,195.6457329059829
_FusedConv2D,BiasAdd,468,4841.74332051282
_FusedConv2D,BiasAdd,468,940.631126068376
_FusedMatMul,BiasAdd,468,144.31795726495727
_FusedMatMul,BiasAdd,468,55.378277777777775
_FusedMatMul,BiasAdd,468,14.281311965811966
BiasAddGrad,BiasAddGrad,468,1495.2053418803418
BiasAddGrad,BiasAddGrad,468,90.56576709401709
BiasAddGrad,BiasAddGrad,468,16.095423076923076
BiasAddGrad,BiasAddGrad,468,12.837623931623929
BiasAddGrad,BiasAddGrad,468,12.490771367521367
Cast,Cast,468,3.0543782051282053
Cast,Cast_1,468,3.1785
Cast,Cast_2,468,3.0085341880341883
CollectiveBcastSend,CollectiveBcastSend,12,1794.5356666666669
CollectiveReduce,CollectiveReduce,936,1293.8566933760685
CollectiveReduce,CollectiveReduce,936,1262.7365267094015
CollectiveReduce,CollectiveReduce,936,1262.1924797008548
CollectiveReduce,CollectiveReduce,936,1249.346297008547
ConcatenateDataset,ConcatenateDataset,2,7.3675
Conv2DBackpropFilter,Conv2DBackpropFilter,468,5406.269459401709
Conv2DBackpropFilter,Conv2DBackpropFilter,468,2875.829608974359
Conv2DBackpropInput,Conv2DBackpropInput,468,1679.2542606837603
Equal,Equal,468,4.566863247863248
Equal,Equal_1,468,3.1517179487179483
Equal,Equal_2,468,2.72042094017094
Fill,Fill,3,19.875
FlushSummaryWriter,FlushSummaryWriter,1,643.606
GatherV2,GatherV2,475,1049.4044631578947
GatherV2,GatherV2_1,475,29.559298947368422
IDLE,IDLE,0,0.0
Identity,Identity,7,1.4864285714285714
Dataset,Iterator::Model,470,8.043882978723406
Dataset,Iterator::Model::Shard,470,12.971802127659574
Dataset,Iterator::Model::Shard::Prefetch,939,16.152974440894567
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,941,19.268453772582358
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,471,9.854333333333333
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,471,31.851309978768576
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,475,9.068084210526315
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,475,4.915477894736842
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1159.826
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,2974.9103333333333
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,104.24566666666668
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,3.4378
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,470,4.255091489361703
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,469,10.986518123667375
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[1]::FromTensor,2,2.281
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate,6,3.818333333333333
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate[0]::TensorSlice,6,7.4755
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[1]::ForeverRepeat,475,40.96796842105263
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[1]::ForeverRepeat::FromTensor,949,3.682302423603794
Dataset,Iterator::Prefetch,468,37.93377564102565
Dataset,Iterator::Prefetch::Generator,469,985.3310106609807
IteratorGetNext,IteratorGetNext,468,12.843012820512818
LogicalAnd,LogicalAnd,1,19.347
LogicalNot,LogicalNot,6,6.604666666666668
MatMul,MatMul,468,315.18800854700856
MatMul,MatMul,468,98.47442735042736
MatMul,MatMul,468,31.501299145299143
MatMul,MatMul_1,468,326.9149807692308
MatMul,MatMul_1,468,84.98760897435899
MatMul,MatMul_1,468,51.43793162393162
MultiDeviceIteratorFromStringHandle,MultiDeviceIteratorFromStringHandle,469,23.199023454157786
MultiDeviceIteratorGetNextFromShard,MultiDeviceIteratorGetNextFromShard,469,13.918904051172706
RandomShuffle,RandomShuffle,3,2833.027
ReadVariableOp,ReadVariableOp,468,7.363737179487178
ReadVariableOp,ReadVariableOp,468,6.4625598290598285
ReadVariableOp,ReadVariableOp,468,5.3686987179487184
ReadVariableOp,ReadVariableOp,468,4.649997863247863
