Type,Operation,#Occurrences,Avg. self-time (us)
AddN,AddN,13104,12.047420177045176
AddN,AddN_1,13104,6.4837261141636136
AddN,AddN_2,13104,7.3168434065934065
AddN,AddN_4,13104,14.729884539072039
AddN,AddN_5,13104,50.43324511599511
ArgMax,ArgMax,468,11.300273504273505
Assert,Assert,21,0.21719047619047616
AssignAddVariableOp,AssignAddVariableOp,468,4.932179487179488
AssignAddVariableOp,AssignAddVariableOp,468,4.72659829059829
AssignAddVariableOp,AssignAddVariableOp_1,468,2.167623931623932
AssignAddVariableOp,AssignAddVariableOp_2,468,6.6706709401709405
AssignAddVariableOp,AssignAddVariableOp_3,468,1.3922970085470086
AssignAddVariableOp,AssignAddVariableOp_4,468,3.2737948717948724
AssignVariableOp,AssignVariableOp,21,5.5412857142857135
BiasAdd,BiasAdd,13104,50.365898122710625
_FusedMatMul,BiasAdd,468,15.366572649572651
BiasAddGrad,BiasAddGrad,13104,76.50270520451771
BiasAddGrad,BiasAddGrad,468,7.363344017094017
BiasAddGrad,BiasAddGrad,468,6.769675213675214
Cast,Cast,468,41.97648076923077
Cast,Cast,468,11.698978632478633
Cast,Cast,468,2.6040662393162397
Cast,Cast,468,1.8227029914529915
Cast,Cast_1,468,2.461760683760684
Cast,Cast_3,468,2.6506175213675216
Cast,Cast_4,468,1.9210833333333333
Cast,Cast_5,468,2.07358547008547
ConcatenateDataset,ConcatenateDataset,2,5.7
Equal,Equal,468,4.192185897435897
Equal,Equal_1,468,3.2656645299145297
Equal,Equal_2,468,2.3701452991452987
Fill,Fill,17,25.467
FlushSummaryWriter,FlushSummaryWriter,1,2901.135
GatherV2,GatherV2,472,102.51816525423729
GatherV2,GatherV2_1,472,14.729877118644069
GreaterEqual,GreaterEqual,468,19.38900641025641
GreaterEqual,GreaterEqual,468,5.354239316239316
IDLE,IDLE,0,0.0
Identity,Identity,1,0.9440000000000001
Dataset,Iterator::Model,468,16.393536324786325
Dataset,Iterator::Model::ParallelMapV2,468,29.33774572649573
Dataset,Iterator::Model::ParallelMapV2::Zip,472,8.229658898305084
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap,472,4.342247881355933
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1373.9185
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,2160.7526666666668
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,25.42133333333333
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,2.7146
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,470,3.813317021276596
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,469,12.551027718550104
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[1]::FromTensor,2,2.4495
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate,3,4.172333333333333
Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate[0]::TensorSlice,3,11.708
Dataset,Iterator::Model::ParallelMapV2::Zip[1]::ForeverRepeat,472,31.879745762711863
Dataset,Iterator::Model::ParallelMapV2::Zip[1]::ForeverRepeat::FromTensor,943,3.3578069989395543
IteratorGetNext,IteratorGetNext,468,20.88017948717949
Less,Less,13572,1.7430867226643088
Less,Less,13572,1.4747049071618037
LogicalAnd,LogicalAnd,1,8.023
LogicalNot,LogicalNot,21,1.8754285714285717
MatMul,MatMul,13104,486.6034798534798
MatMul,MatMul,13104,162.25225595238095
MatMul,MatMul,468,45.89899572649573
MatMul,MatMul,468,14.169202991452991
MatMul,MatMul_1,13104,395.6669983974359
MatMul,MatMul_1,13104,321.4808825549451
MatMul,MatMul_1,13104,255.66655761599515
MatMul,MatMul_1,468,87.82107692307693
MatMul,MatMul_1,468,25.49114957264957
Mul,Mul,13104,15.445328678266176
Mul,Mul,13104,14.126074633699634
Mul,Mul,13104,12.606434829059827
Mul,Mul,468,15.908373931623931
Mul,Mul,468,5.173634615384615
Mul,Mul,468,3.5288461538461537
Mul,Mul,468,2.334318376068376
Mul,Mul_1,13104,16.559233669108668
Mul,Mul_1,13104,16.134543269230768
Mul,Mul_1,13104,13.598785714285714
Mul,Mul_1,468,7.530758547008547
Mul,Mul_1,468,7.379388888888888
Mul,Mul_1,468,2.2647628205128205
Mul,Mul_1,468,2.0007542735042736
Pow,Pow,468,2.4635897435897443
Pow,Pow_1,468,5.431771367521368
RandomShuffle,RandomShuffle,3,2069.917
RandomUniform,RandomUniform,468,116.48051068376068
RandomUniform,RandomUniform,468,40.73748717948718
ReadVariableOp,ReadVariableOp,13104,2.1769415445665445
ReadVariableOp,ReadVariableOp,13104,1.5764771825396824
ReadVariableOp,ReadVariableOp,13104,1.2044766483516482
ReadVariableOp,ReadVariableOp,468,5.8800940170940175
ReadVariableOp,ReadVariableOp,468,4.2038632478632465
ReadVariableOp,ReadVariableOp,468,2.9477329059829063
ReadVariableOp,ReadVariableOp,468,2.7870384615384616
ReadVariableOp,ReadVariableOp,468,2.744587606837607
ReadVariableOp,ReadVariableOp,468,2.467104700854701
ReadVariableOp,ReadVariableOp,468,2.1274017094017093
