Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,937,38.43365741728922
ArgMax,ArgMax_1,937,5.866604055496263
Assert,Assert,6,0.6511666666666667
AssignAddVariableOp,AssignAddVariableOp,937,5.960592315901813
AssignAddVariableOp,AssignAddVariableOp_1,937,2.170052294557097
AssignAddVariableOp,AssignAddVariableOp_2,937,7.872979722518678
AssignAddVariableOp,AssignAddVariableOp_3,937,1.6707278548559232
AssignAddVariableOp,SGD/SGD/update_0/AssignAddVariableOp,937,4.375027748132337
AssignAddVariableOp,update_0/AssignAddVariableOp,937,8.454314834578442
AssignVariableOp,AssignVariableOp,6,16.273666666666667
AvgPool,sequential/average_pooling2d/AvgPool,937,394.22226680896483
AvgPool,sequential/average_pooling2d_1/AvgPool,937,115.68690715048024
AvgPoolGrad,gradient_tape/sequential/average_pooling2d/AvgPool/AvgPoolGrad,937,357.32868089647815
AvgPoolGrad,gradient_tape/sequential/average_pooling2d_1/AvgPool/AvgPoolGrad,937,83.58095944503735
BiasAddGrad,gradient_tape/sequential/conv2d/BiasAdd/BiasAddGrad,937,329.3449359658485
BiasAddGrad,gradient_tape/sequential/conv2d_1/BiasAdd/BiasAddGrad,937,45.615639274279616
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,937,12.871453575240128
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,937,14.409556029882605
BiasAddGrad,gradient_tape/sequential/dense_2/BiasAdd/BiasAddGrad,937,11.71108537886873
Cast,Cast_1,937,3.1689402347918887
Cast,Cast_2,937,3.9866723585912487
Cast,categorical_crossentropy/weighted_loss/num_elements/Cast,937,4.015446104589113
CollectiveBcastSend,CollectiveBcastSend,12,2129.306083333333
CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,1874,1666.817613127001
CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,1874,1675.859682497332
CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,1874,1704.58824226254
CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,1874,1734.231705976521
CollectiveReduce,scoped_allocator_1_1_CollectiveReduce,1874,2799.6605939167553
ConcatenateDataset,ConcatenateDataset,2,9.3515
Conv2DBackpropFilter,gradient_tape/sequential/conv2d/Conv2DBackpropFilter,937,2420.468053361793
Conv2DBackpropFilter,gradient_tape/sequential/conv2d_1/Conv2DBackpropFilter,937,1685.5909519743866
Conv2DBackpropInput,gradient_tape/sequential/conv2d_1/Conv2DBackpropInput,937,1028.3597833511203
Dataset,Iterator::Model,939,7.29120447284345
Dataset,Iterator::Model::Shard,939,16.96679446219382
Dataset,Iterator::Model::Shard::Prefetch,2815,9.773138543516874
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,2818,6.731717530163237
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,940,10.102197872340426
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,940,17.54711170212766
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,944,8.929796610169491
