Type,Operation,#Occurrences,Avg. self-time (us)
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN,26236,5.5766552828175024
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_1,26236,3.2013167022411952
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_2,26236,3.605811709101997
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_4,26236,17.535079928342732
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_5,26236,61.15611186918736
AddV2,Adam/add,937,8.701731056563501
AddV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/add,26236,0.8683657188595822
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add,26236,1.870895067845708
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add_1,26236,1.3667684860497027
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add,26236,11.1711271535295
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add_1,26236,4.870161305076993
ArgMax,ArgMax,937,7.5807972251867675
Assert,Assert,21,1.8673333333333333
AssignAddVariableOp,Adam/Adam/update_0/AssignAddVariableOp,937,4.429948772678761
AssignAddVariableOp,AssignAddVariableOp,937,8.309631803628601
AssignAddVariableOp,AssignAddVariableOp_1,937,2.738334044823906
AssignAddVariableOp,AssignAddVariableOp_2,937,6.872758804695837
AssignAddVariableOp,AssignAddVariableOp_3,937,1.9988815368196369
AssignAddVariableOp,update_0/AssignAddVariableOp,937,7.204604055496263
AssignVariableOp,AssignVariableOp,21,14.738333333333333
BiasAdd,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/BiasAdd,26236,16.287864842201554
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,937,9.9962924226254
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,937,10.980544290288154
BiasAddGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/BiasAdd_grad/BiasAddGrad,26236,15.12634521268486
Cast,Adam/Cast_1,937,2.9192828175026677
Cast,ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_float_Cast,937,4.0976808964781215
Cast,Cast,937,2.650615795090715
Cast,Cast_3,937,2.6582358591248663
Cast,Cast_4,937,2.3652849519743864
Cast,Cast_5,937,2.5277278548559234
Cast,sequential/dropout/dropout/Cast,937,13.317061899679828
Cast,sequential/dropout_1/dropout/Cast,937,5.485055496264675
Cast,sparse_categorical_crossentropy/ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_int64_Cast,937,3.058197438633938
Cast,sparse_categorical_crossentropy/weighted_loss/num_elements/Cast,937,2.1783906083244395
CollectiveBcastSend,CollectiveBcastSend,42,8120.93230952381
CollectiveReduce,allreduce/CollectiveReduce,1874,1702.4246013874067
CollectiveReduce,allreduce/CollectiveReduce_1,1874,1759.2068986125935
CollectiveReduce,allreduce/CollectiveReduce_2,1874,1703.1373068303094
CollectiveReduce,allreduce/CollectiveReduce_3,1874,1766.5578116328709
CollectiveReduce,allreduce/CollectiveReduce_4,1874,2506.203460512273
CollectiveReduce,allreduce/CollectiveReduce_5,1874,2842.2728612593382
CollectiveReduce,allreduce/CollectiveReduce_6,1874,2533.398367129136
CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,1874,1681.3037513340448
CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,1874,1692.2144866595518
CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,1874,1696.3243292422626
CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,1874,1660.1198804695834
ConcatV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/split_grad/concat,26236,21.6310752020125
ConcatenateDataset,ConcatenateDataset,2,8.038
Dataset,Iterator::Model,939,6.847678381256657
Dataset,Iterator::Model::Shard,939,11.590376996805112
Dataset,Iterator::Model::Shard::Prefetch,1877,9.060506126798083
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,1879,5.933337945715807
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,940,9.074441489361703
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,940,15.079092553191488
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,944,8.098240466101695
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,944,6.3605985169491515
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,823.6410000000001
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,1586.177666666667
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,38.28566666666666
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,4.2113999999999985
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,939,3.858594249201278
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,938,5.0563795309168444
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[1]::FromTensor,2,1.817
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate,6,3.5669999999999997
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate[0]::TensorSlice,6,4.18
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[1]::ForeverRepeat,944,34.125778601694925
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[1]::ForeverRepeat::FromTensor,1887,3.282009538950716
Dataset,Iterator::Prefetch,937,19.788130202774813
Dataset,Iterator::Prefetch::Generator,938,276.95141791044773
DivNoNan,div_no_nan,937,3.939811099252935
DivNoNan,div_no_nan_1,937,4.931039487726788
DivNoNan,gradient_tape/sparse_categorical_crossentropy/weighted_loss/value/div_no_nan,937,3.760228388473852
DivNoNan,sparse_categorical_crossentropy/weighted_loss/value,937,3.5620405549626466
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/Placeholder_0/accumulator,1,0.9670000000000001
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/TensorArrayV2Read/TensorListGetItem_0/accumulator,1,14.93
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_2_grad/Shape_0/accumulator,1,0.858
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/lstm_cell/MatMul/ReadVariableOp_0/accumulator,1,0.787
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/lstm_cell/MatMul_1/ReadVariableOp_0/accumulator,1,0.9470000000000001
EmptyTensorList,gradient_tape/sequential/lstm/while/sequential/lstm/while/lstm_cell/mul_2_0/accumulator,1,0.882
Equal,Equal,937,5.357836712913554
Equal,Equal_1,937,3.5048986125933834
Equal,Equal_2,937,6.185274279615794
Fill,Fill,17,42.624176470588225
Fill,gradient_tape/sequential/lstm/while/zeros,937,15.909293489861259
Fill,gradient_tape/sequential/lstm/while/zeros_1,937,36.7392454642476
Fill,gradient_tape/sequential/lstm/while/zeros_2,937,8.502829242262539
Fill,sequential/lstm/zeros_1,937,7.428479188900747
FloorMod,mod,937,5.2990085378868725
FloorMod,mod_1,937,6.191798292422625
FlushSummaryWriter,FlushSummaryWriter,1,3012.1409999999996
GatherV2,GatherV2,944,103.50830402542374
GatherV2,GatherV2_1,944,11.18443220338983
GreaterEqual,sequential/dropout/dropout/GreaterEqual,937,9.3624386339381
GreaterEqual,sequential/dropout_1/dropout/GreaterEqual,937,3.1124866595517613
IDLE,IDLE,0,0.0
Identity,Identity,22,1.6052272727272727
IteratorGetNext,IteratorGetNext,937,22.47836392742796
Less,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/cond/_158/gradient_tape/sequential/lstm/while/Less,27173,1.490373201339565
Less,sequential/lstm/while/cond/_0/sequential/lstm/while/Less,27173,1.701169948110257
LogicalAnd,LogicalAnd,1,15.357000000000001
LogicalNot,LogicalNot,21,5.432714285714287
MatMul,gradient_tape/sequential/dense/MatMul,937,56.35324226254003
MatMul,gradient_tape/sequential/dense/MatMul_1,937,48.170395944503746
MatMul,gradient_tape/sequential/dense_1/MatMul,937,24.979459978655285
MatMul,gradient_tape/sequential/dense_1/MatMul_1,937,30.681266808964786
MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul,26236,258.86974649336787
MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul_1,26236,294.6362731361488
MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_grad/MatMul_1,26236,122.85943364079891
MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul,26236,41.41580282817503
MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul_1,26236,205.120063996036
Mul,gradient_tape/sequential/dropout/dropout/Mul,937,5.2988281750266815
Mul,gradient_tape/sequential/dropout/dropout/Mul_1,937,6.539886872998933
Mul,gradient_tape/sequential/dropout_1/dropout/Mul,937,4.768210245464248
Mul,gradient_tape/sequential/dropout_1/dropout/Mul_1,937,3.283855923159018
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_1_grad/Mul,26236,6.2583656426284495
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_1_grad/Mul_1,26236,7.107991576459826
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_2_grad/Mul,26236,6.781129021192255
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_2_grad/Mul_1,26236,7.2611411038268034
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_grad/Mul,26236,5.1027350968135385
Mul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/mul_grad/Mul_1,26236,8.18039400060985
Mul,gradient_tape/sparse_categorical_crossentropy/SparseSoftmaxCrossEntropyWithLogits/mul,937,19.66602454642476
Mul,sequential/dropout/dropout/Mul,937,6.713417289220918
Mul,sequential/dropout/dropout/Mul_1,937,3.3956926360725723
Mul,sequential/dropout_1/dropout/Mul,937,2.291200640341516
Mul,sequential/dropout_1/dropout/Mul_1,937,1.1802550693703306
Mul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/mul,26236,6.506969888702546
Mul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/mul_1,26236,6.943084692788536
Mul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/mul_2,26236,6.7195840448239075
MultiDeviceIteratorFromStringHandle,MultiDeviceIteratorFromStringHandle,938,19.41541471215352
MultiDeviceIteratorGetNextFromShard,MultiDeviceIteratorGetNextFromShard,938,49.26858848614073
Pack,sequential/lstm/zeros_1/packed,937,6.607593383137673
Pack,sparse_categorical_crossentropy/Reshape_1/shape,937,4.712982924226254
Pow,Adam/Pow,937,6.594973319103523
Pow,Adam/Pow_1,937,5.024760939167557
RandomShuffle,RandomShuffle,3,1387.9546666666665
RandomUniform,sequential/dropout/dropout/random_uniform/RandomUniform,937,57.89667022411953
RandomUniform,sequential/dropout_1/dropout/random_uniform/RandomUniform,937,14.692165421558164
ReadVariableOp,Adam/Cast/ReadVariableOp,937,5.496096051227322
ReadVariableOp,Adam/Cast_2/ReadVariableOp,937,2.021432230522945
ReadVariableOp,Adam/Cast_3/ReadVariableOp,937,2.791674493062967
ReadVariableOp,Adam/ReadVariableOp,937,7.884627534685165
ReadVariableOp,Identity_2/ReadVariableOp,937,3.343443970117397
ReadVariableOp,Identity_3/ReadVariableOp,937,1.7396648879402348
ReadVariableOp,cond/then/_328/batch_loss/Identity/ReadVariableOp,937,2.6223703308431165
