Name,CPU time avg (us),CPU total (us),Self CPU time total (us),Number of Calls
AddmmBackward,159.96478866380326,4501409.152999423,424874.9089938657,28140
AvgPool2DBackward,491.78956210026183,9225972.185000913,122795.98499896949,18760
LogSoftmaxBackward,32.021117483871144,300358.0819987113,59947.252997214426,9380
MkldnnConvolutionBackward,8139.7006055969205,152700783.36099818,196301.6339967539,18760
NllLossBackward,42.58005788942428,399400.94300279976,126768.7610016157,9380
TBackward,6.572931592000687,184962.29499889934,65098.665994817995,28140
TanhBackward,156.31118547444592,5864795.67900121,230359.17999708388,37520
ViewBackward,13.447913006275828,126141.42399886725,31849.336998087514,9380
_convolution,983.5569089018803,18451527.61099928,227915.5220002659,18760
_local_scalar_dense,1.5435596963532547,926166.68900588,926166.68900588,600020
_log_softmax,41.310599893281534,387493.4269989808,387493.4269989808,9380
_log_softmax_backward_data,25.63015234557536,240410.82900149692,240410.82900149692,9380
add_,7.8211049523187794,1467161.07800548,1467161.07800548,187590
addmm,88.67152928219973,2495216.834001101,2495216.834001101,28140
avg_pool2d,343.80150970140437,6449716.3219983475,6449716.3219983475,18760
avg_pool2d_backward,485.2439339020225,9103176.200001942,9103176.200001942,18760
contiguous,0.6448537490918347,36292.368998888465,36292.368998888465,56280
conv2d,989.5064910447979,18563141.77200041,54889.40400047725,18760
convolution,986.5806166311264,18508252.36799993,56724.75700065273,18760
detach,2.0297999999995233,20.297999999995227,20.297999999995227,10
detach_,0.9395257148232026,96930.86799830981,96930.86799830981,103170
div,15.466605361667016,9279963.217000207,9279963.217000207,600000
empty,3.6026656258289558,4323198.750994747,4323198.750994747,1200000
flatten,12.091758102281007,226841.3819987917,52006.87899885604,18760
is_complex,0.4479000028312214,4.479000028312214,4.479000028312214,10
is_floating_point,1.7459000010937444,34.91800002187489,34.91800002187489,20
item,3.2578983183860295,1954804.1489979855,1028637.4599921056,600020
log_softmax,44.897156290040215,421135.3260005772,33641.89900159644,9380
mkldnn_convolution,969.473332622608,18187319.720000125,18187319.720000125,18760
mkldnn_convolution_backward,8129.236765831636,152504481.7270015,152504481.7270015,18760
mm,64.00244205767417,3602057.4390059025,3602057.4390059025,56280
nll_loss,23.51690799562468,220588.59699895952,32264.496999873936,9380
nll_loss_backward,29.065264605669945,272632.1820011841,272632.1820011841,9380
nll_loss_forward,20.077196161949423,188324.0999990856,188324.0999990856,9380
random_,11.925200011742115,119.25200011742115,119.25200011742115,10
reshape,14.345767057607436,269126.59000071546,66492.1360055049,18760
select,4.557995154183528,5469594.1850202335,5469594.1850202335,1200000
set_,4.186422571660182,2511853.5429961085,2511853.5429961085,600000
stack,175.20483187636162,1643421.3230002725,1643421.3230002725,9380
sum,15.710748258752265,442100.45600128866,442100.45600128866,28140
tanh,212.90449040514477,7988176.48000103,7988176.48000103,37520
tanh_backward,150.17154848092022,5634436.499004127,5634436.499004127,37520
to,13.474993880682593,8211391.771010358,6213497.887015877,609380
torch::autograd::AccumulateGrad,11.349834573563724,1064614.483000277,335451.87299545604,93800
torch::autograd::GraphRoot,1.7973959488832083,16859.5740005245,16859.5740005245,9380
transpose,4.378614117495038,5254336.940994047,5254336.940994047,1200000
unsigned short,6.240721130067732,878069.4630005298,878069.4630005298,140700
view,7.7678250270567855,5025006.010003035,5025006.010003035,646900
zero_,4.756911120624031,446150.69400332787,446150.69400332787,93790
