Rank,Host/device,Type,Operation,#Occurrences,Total time (us),Avg. time (us),Total self-time (us),Avg. self-time (us),Total self-time on Device (%),Cumulative total-self time on Device (%),Total self-time on Host (%),Cumulative total-self time on Host (%)
1,Host,IDLE,IDLE,0,60603414.052,0.0,60603414.052,0.0,0.0,0.0,0.8353112354559531,0.8353112354559531
2,Host,Conv2DBackpropFilter,gradient_tape/sequential/conv2d/Conv2DBackpropFilter,117,3450757.158,29493.650923076922,3450757.158,29493.650923076922,0.0,0.0,0.047562604681548104,0.8828738401375011
3,Host,_FusedConv2D,sequential/conv2d/BiasAdd,117,2254560.546,19269.748256410257,2254560.546,19269.748256410257,0.0,0.0,0.03107514295273202,0.9139489830902332
4,Host,Conv2DBackpropFilter,gradient_tape/sequential/conv2d_1/Conv2DBackpropFilter,117,1605542.566,13722.586034188034,1605542.566,13722.586034188034,0.0,0.0,0.022129574139698523,0.9360785572299317
5,Host,Conv2DBackpropInput,gradient_tape/sequential/conv2d_1/Conv2DBackpropInput,117,1035936.599,8854.158965811966,1035936.599,8854.158965811966,0.0,0.0,0.014278559944201217,0.950357117174133
6,Host,BiasAddGrad,gradient_tape/sequential/conv2d/BiasAdd/BiasAddGrad,117,1017121.388,8693.345196581196,1017121.388,8693.345196581196,0.0,0.0,0.014019225426639399,0.9643763426007723
7,Host,GatherV2,GatherV2,121,504076.051,4165.917776859504,504076.051,4165.917776859504,0.0,0.0,0.006947799814764271,0.9713241424155366
8,Host,_FusedConv2D,sequential/conv2d_1/BiasAdd,117,423791.468,3622.149299145299,423791.468,3622.149299145299,0.0,0.0,0.005841218357880444,0.977165360773417
9,Host,AvgPool,sequential/average_pooling2d/AvgPool,117,384693.319,3287.9770854700855,384693.319,3287.9770854700855,0.0,0.0,0.0053023192932632555,0.9824676800666803
10,Host,AvgPoolGrad,gradient_tape/sequential/average_pooling2d/AvgPool/AvgPoolGrad,117,342917.216,2930.9163760683764,342917.216,2930.9163760683764,0.0,0.0,0.0047265093532568555,0.9871941894199371
11,Host,Tanh,sequential/conv2d/Tanh,117,129095.224,1103.377982905983,129095.224,1103.377982905983,0.0,0.0,0.0017793501032528764,0.98897353952319
12,Host,MatMul,gradient_tape/sequential/dense/MatMul_1,117,112917.939,965.1105897435897,112917.939,965.1105897435897,0.0,0.0,0.001556374745658693,0.9905299142688487
13,Host,AvgPoolGrad,gradient_tape/sequential/average_pooling2d_1/AvgPool/AvgPoolGrad,117,78439.965,670.4270512820513,78439.965,670.4270512820513,0.0,0.0,0.0010811566493110698,0.9916110709181598
14,Host,TanhGrad,gradient_tape/sequential/conv2d/TanhGrad,117,63756.478,544.9271623931625,63756.478,544.9271623931625,0.0,0.0,0.0008787706639893954,0.9924898415821493
15,Host,MatMul,gradient_tape/sequential/dense_1/MatMul_1,117,62571.119,534.7958888888888,62571.119,534.7958888888888,0.0,0.0,0.0008624325796382522,0.9933522741617875
16,Host,MatMul,gradient_tape/sequential/dense/MatMul,117,54533.258,466.09622222222225,54533.258,466.09622222222225,0.0,0.0,0.000751644834304759,0.9941039189960923
17,Host,AvgPool,sequential/average_pooling2d_1/AvgPool,117,48934.717,418.24544444444444,48934.717,418.24544444444444,0.0,0.0,0.0006744788153169809,0.9947783978114093
18,Host,Tanh,sequential/conv2d_1/Tanh,117,41990.35,358.8918803418803,41990.35,358.8918803418803,0.0,0.0,0.0005787629572425112,0.9953571607686518
19,Host,BiasAddGrad,gradient_tape/sequential/conv2d_1/BiasAdd/BiasAddGrad,117,40123.206,342.9333846153846,40123.206,342.9333846153846,0.0,0.0,0.0005530276684669327,0.9959101884371188
20,Host,_FusedMatMul,sequential/dense/BiasAdd,117,32524.495,277.98713675213673,32524.495,277.98713675213673,0.0,0.0,0.0004482928317820468,0.9963584812689008
21,Host,MatMul,gradient_tape/sequential/dense_1/MatMul,117,31959.586,273.1588547008547,31959.586,273.1588547008547,0.0,0.0,0.00044050655699717577,0.9967989878258979
22,Host,SoftmaxCrossEntropyWithLogits,categorical_crossentropy/softmax_cross_entropy_with_logits,117,19911.195,170.18115384615385,19911.195,170.18115384615385,0.0,0.0,0.000274440725081651,0.9970734285509796
23,Host,MatMul,gradient_tape/sequential/dense_2/MatMul_1,117,19520.589,166.84264102564103,19520.589,166.84264102564103,0.0,0.0,0.0002690569099032429,0.9973424854608828
24,Host,_FusedMatMul,sequential/dense_1/BiasAdd,117,15878.861,135.7167606837607,15878.861,135.7167606837607,0.0,0.0,0.00021886210879411055,0.9975613475696768
25,Host,TanhGrad,gradient_tape/sequential/conv2d_1/TanhGrad,117,15767.27,134.76299145299146,15767.27,134.76299145299146,0.0,0.0,0.00021732402356353615,0.9977786715932404
26,Host,ArgMax,ArgMax,117,15084.251,128.92522222222223,15084.251,128.92522222222223,0.0,0.0,0.00020790981062430552,0.9979865814038648
27,Host,Dataset,Iterator::Model::ParallelMapV2,117,14251.115,121.8044017094017,14251.115,121.8044017094017,0.0,0.0,0.00019642649945530606,0.99818300790332
28,Host,GatherV2,GatherV2_1,121,10060.91,83.14801652892562,10060.91,83.14801652892562,0.0,0.0,0.00013867190971617892,0.9983216798130362
29,Host,MatMul,gradient_tape/sequential/dense_2/MatMul,117,9527.968,81.43562393162394,9527.968,81.43562393162394,0.0,0.0,0.0001313262436772262,0.9984530060567134
30,Host,Tanh,sequential/dense/Tanh,117,8183.13,69.94128205128206,8183.13,69.94128205128206,0.0,0.0,0.00011279002242896073,0.9985657960791423
31,Host,_FusedMatMul,sequential/dense_2/BiasAdd,117,6971.458,59.58511111111111,6971.458,59.58511111111111,0.0,0.0,9.608925975544293e-05,0.9986618853388978
32,Host,Softmax,sequential/dense_2/Softmax,117,6942.781,59.340008547008544,6942.781,59.340008547008544,0.0,0.0,9.569399786015405e-05,0.9987575793367579
33,Host,Tanh,sequential/dense_1/Tanh,117,6169.981,52.73488034188034,6169.981,52.73488034188034,0.0,0.0,8.504231209528157e-05,0.9988426216488532
34,Host,Dataset,Iterator::Model::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,4717.31,1572.4366666666667,4605.15,1535.05,0.0,0.0,6.347387512953215e-05,0.9989060955239827
35,Host,RandomShuffle,RandomShuffle,3,4351.507,1450.5023333333331,4351.507,1450.5023333333331,0.0,0.0,5.997785347779878e-05,0.9989660733774605
36,Host,TanhGrad,gradient_tape/sequential/dense/TanhGrad,117,4300.534,36.75670085470085,4300.534,36.75670085470085,0.0,0.0,5.9275280524262495e-05,0.9990253486579848
37,Host,Dataset,Iterator::Model::ParallelMapV2::Zip[1]::ForeverRepeat,121,4710.887,38.93295041322314,3845.081,31.777528925619837,0.0,0.0,5.299766375838716e-05,0.9990783463217432
38,Host,ArgMax,ArgMax_1,117,3533.195,30.198247863247865,3533.195,30.198247863247865,0.0,0.0,4.869886501813999e-05,0.9991270451867613
39,Host,BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,117,3419.626,29.22757264957265,3419.626,29.22757264957265,0.0,0.0,4.713351654423885e-05,0.9991741787033056
40,Host,ResourceApplyGradientDescent,SGD/SGD/update_4/ResourceApplyGradientDescent,117,3277.049,28.008965811965812,3277.049,28.008965811965812,0.0,0.0,4.516834392351134e-05,0.9992193470472291
41,Host,ResourceApplyGradientDescent,SGD/SGD/update/ResourceApplyGradientDescent,117,3220.016,27.521504273504274,3220.016,27.521504273504274,0.0,0.0,4.438224455209833e-05,0.9992637292917812
42,Host,BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,117,2962.611,25.321461538461538,2962.611,25.321461538461538,0.0,0.0,4.0834370361742484e-05,0.9993045636621429
43,Host,ResourceApplyGradientDescent,SGD/SGD/update_2/ResourceApplyGradientDescent,117,2854.517,24.397581196581196,2854.517,24.397581196581196,0.0,0.0,3.9344485111913125e-05,0.9993439081472548
44,Host,Mul,gradient_tape/categorical_crossentropy/softmax_cross_entropy_with_logits/mul,117,2676.958,22.879982905982907,2676.958,22.879982905982907,0.0,0.0,3.689714728488804e-05,0.9993808052945398
