Rank,Host/device,Type,Operation,#Occurrences,Total time (us),Avg. time (us),Total self-time (us),Avg. self-time (us),Total self-time on Device (%),Cumulative total-self time on Device (%),Total self-time on Host (%),Cumulative total-self time on Host (%)
1,Host,IDLE,IDLE,0,273338941.836,0.0,273338941.836,0.0,0.0,0.0,0.8769566227973711,0.8769566227973711
2,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul,3276,2889614.779,882.0557933455434,2889614.779,882.0557933455434,0.0,0.0,0.00927078593615695,0.886227408733528
3,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_1_grad/MatMul_1,3276,2352872.958,718.2151886446886,2352872.958,718.2151886446886,0.0,0.0,0.0075487506802339776,0.893776159413762
4,Host,CollectiveReduce,allreduce/CollectiveReduce_5,234,2063123.009,8816.764995726497,2063123.009,8816.764995726497,0.0,0.0,0.0066191424252813914,0.9003953018390434
5,Host,CollectiveReduce,allreduce/CollectiveReduce_6,234,1982430.446,8471.924982905983,1982430.446,8471.924982905983,0.0,0.0,0.00636025550248134,0.9067555573415247
6,Host,CollectiveReduce,allreduce/CollectiveReduce_4,234,1977189.521,8449.527867521367,1977189.521,8449.527867521367,0.0,0.0,0.006343440979612909,0.9130989983211376
7,Host,MatMul,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/MatMul_grad/MatMul_1,3276,1826277.497,557.4717634310134,1826277.497,557.4717634310134,0.0,0.0,0.005859268113435794,0.9189582664345735
8,Host,BiasAddGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/BiasAdd_grad/BiasAddGrad,3276,1656372.253,505.6081358363858,1656372.253,505.6081358363858,0.0,0.0,0.005314159070527443,0.9242724255051009
9,Host,CollectiveReduce,allreduce/CollectiveReduce_1,234,1650758.755,7054.5245940170935,1650758.755,7054.5245940170935,0.0,0.0,0.00529614921721092,0.9295685747223118
10,Host,CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,234,1640536.798,7010.841017094017,1640536.798,7010.841017094017,0.0,0.0,0.005263353989319542,0.9348319287116313
11,Host,CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,234,1638002.576,7000.011008547008,1638002.576,7000.011008547008,0.0,0.0,0.005255223414321296,0.9400871521259526
12,Host,CollectiveReduce,allreduce/CollectiveReduce,234,1636576.453,6993.916465811965,1636576.453,6993.916465811965,0.0,0.0,0.005250647966705332,0.945337800092658
13,Host,CollectiveReduce,allreduce/CollectiveReduce_3,234,1636136.929,6992.038158119658,1636136.929,6992.038158119658,0.0,0.0,0.005249237836556699,0.9505870379292147
14,Host,CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,234,1634694.367,6985.873363247863,1634694.367,6985.873363247863,0.0,0.0,0.005244609647498827,0.9558316475767136
15,Host,CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,234,1628668.65,6960.122435897436,1628668.65,6960.122435897436,0.0,0.0,0.005225277266994393,0.961056924843708
16,Host,CollectiveReduce,allreduce/CollectiveReduce_2,234,1619236.248,6919.813025641025,1619236.248,6919.813025641025,0.0,0.0,0.005195015177929345,0.9662519400216373
17,Host,MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul_1,3276,1590671.283,485.5528946886447,1590671.283,485.5528946886447,0.0,0.0,0.005103369856306073,0.9713553098779434
18,Host,MatMul,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/MatMul,3276,1458020.871,445.06131593406593,1458020.871,445.06131593406593,0.0,0.0,0.004677785940092643,0.976033095818036
19,Host,Split,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/split,3276,473435.282,144.51626434676436,473435.282,144.51626434676436,0.0,0.0,0.0015189281235490596,0.977552023941585
20,Host,BiasAdd,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/BiasAdd,3276,445859.782,136.09883455433456,445859.782,136.09883455433456,0.0,0.0,0.0014304573144154743,0.9789824812560005
21,Host,ConcatV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/split_grad/concat,3276,415344.909,126.78416025641025,415344.909,126.78416025641025,0.0,0.0,0.0013325560794453524,0.9803150373354459
22,Host,ReluGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/Relu_grad/ReluGrad,3276,408233.364,124.61335897435897,408233.364,124.61335897435897,0.0,0.0,0.0013097400238764633,0.9816247773593224
23,Host,ReluGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/Relu_1_grad/ReluGrad,3276,408007.668,124.5444652014652,408007.668,124.5444652014652,0.0,0.0,0.0013090159206783994,0.9829337932800009
