Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,468,27.006596153846154
ArgMax,ArgMax_1,468,6.787192307692307
Assert,Assert,6,0.5658333333333333
AssignAddVariableOp,AssignAddVariableOp,468,7.452583333333334
AssignAddVariableOp,AssignAddVariableOp,468,5.146373931623931
AssignAddVariableOp,AssignAddVariableOp,468,4.455282051282052
AssignAddVariableOp,AssignAddVariableOp_1,468,1.8016666666666663
AssignAddVariableOp,AssignAddVariableOp_2,468,10.274500000000002
AssignAddVariableOp,AssignAddVariableOp_3,468,3.0870427350427354
AssignVariableOp,AssignVariableOp,6,13.112
AvgPool,AvgPool,468,564.572435897436
AvgPool,AvgPool,468,116.68010683760684
AvgPoolGrad,AvgPoolGrad,468,498.0248397435897
AvgPoolGrad,AvgPoolGrad,468,142.6094658119658
_FusedConv2D,BiasAdd,468,3550.0446538461542
_FusedConv2D,BiasAdd,468,682.5578076923077
_FusedMatMul,BiasAdd,468,113.18068162393163
_FusedMatMul,BiasAdd,468,43.227888888888884
_FusedMatMul,BiasAdd,468,11.902707264957266
BiasAddGrad,BiasAddGrad,468,981.6045042735043
BiasAddGrad,BiasAddGrad,468,65.71685256410257
BiasAddGrad,BiasAddGrad,468,15.222134615384615
BiasAddGrad,BiasAddGrad,468,11.222538461538463
BiasAddGrad,BiasAddGrad,468,10.89709188034188
Cast,Cast,468,4.108476495726496
Cast,Cast_1,468,3.204839743589744
Cast,Cast_2,468,2.3781410256410256
CollectiveBcastSend,CollectiveBcastSend,12,1768.2342500000002
CollectiveReduce,CollectiveReduce,936,1598.6868547008544
CollectiveReduce,CollectiveReduce,936,1567.3393344017095
CollectiveReduce,CollectiveReduce,936,1549.6405064102564
CollectiveReduce,CollectiveReduce,936,1541.5161591880344
ConcatenateDataset,ConcatenateDataset,2,8.3545
Conv2DBackpropFilter,Conv2DBackpropFilter,468,4123.349356837607
Conv2DBackpropFilter,Conv2DBackpropFilter,468,2202.2771303418804
Conv2DBackpropInput,Conv2DBackpropInput,468,1306.2163183760686
Equal,Equal,468,4.498952991452992
Equal,Equal_1,468,2.9367307692307696
Equal,Equal_2,468,2.5394978632478633
Fill,Fill,3,63.31566666666666
FlushSummaryWriter,FlushSummaryWriter,1,1058.98
GatherV2,GatherV2,475,660.9074526315787
GatherV2,GatherV2_1,475,31.026517894736838
IDLE,IDLE,0,0.0
Identity,Identity,7,1.497142857142857
Dataset,Iterator::Model,470,7.63096170212766
Dataset,Iterator::Model::Shard,470,16.512357446808508
Dataset,Iterator::Model::Shard::Prefetch,1408,10.578863636363636
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,1411,6.80222466335932
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,471,10.243539278131637
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,471,24.13610403397028
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,475,8.635307368421053
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,475,4.9268
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1170.723
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,2751.312
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,38.02233333333333
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,3.5956
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,470,4.313406382978723
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,469,9.550503198294242
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[1]::FromTensor,2,2.5245
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate,6,10.7305
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate[0]::TensorSlice,6,10.887666666666664
