Type,Operation,#Occurrences,Avg. self-time (us)
AddN,AddN,3276,24.32292704517705
AddN,AddN_1,3276,12.516164224664225
AddN,AddN_2,3276,9.2602615995116
AddN,AddN_4,3276,18.130265262515266
AddN,AddN_5,3276,69.05519658119657
ArgMax,ArgMax,117,18.27283760683761
Assert,Assert,21,0.6029047619047618
AssignAddVariableOp,AssignAddVariableOp,117,10.74565811965812
AssignAddVariableOp,AssignAddVariableOp,117,8.773880341880343
AssignAddVariableOp,AssignAddVariableOp,117,7.606529914529915
AssignAddVariableOp,AssignAddVariableOp_1,117,3.0274444444444444
AssignAddVariableOp,AssignAddVariableOp_2,117,13.79568376068376
AssignAddVariableOp,AssignAddVariableOp_3,117,2.583504273504273
AssignVariableOp,AssignVariableOp,21,13.562476190476193
BiasAdd,BiasAdd,3276,89.85675335775335
_FusedMatMul,BiasAdd,117,28.043119658119654
BiasAddGrad,BiasAddGrad,3276,146.57090689865692
BiasAddGrad,BiasAddGrad,117,31.700888888888887
BiasAddGrad,BiasAddGrad,117,20.0962735042735
Cast,Cast,117,84.0815982905983
Cast,Cast,117,22.502658119658122
Cast,Cast,117,3.797589743589744
Cast,Cast,117,2.5816923076923075
Cast,Cast_1,117,3.676282051282051
Cast,Cast_3,117,5.157333333333334
Cast,Cast_4,117,4.037410256410257
Cast,Cast_5,117,7.2263247863247875
CollectiveBcastSend,CollectiveBcastSend,42,1903.6231666666665
CollectiveReduce,CollectiveReduce,234,3062.6143504273505
CollectiveReduce,CollectiveReduce,234,3060.6865641025643
CollectiveReduce,CollectiveReduce,234,3032.658863247864
CollectiveReduce,CollectiveReduce,234,3024.8687307692308
CollectiveReduce,CollectiveReduce,234,2962.5842564102563
CollectiveReduce,CollectiveReduce_1,234,3270.246123931624
CollectiveReduce,CollectiveReduce_2,234,3080.246123931624
CollectiveReduce,CollectiveReduce_3,234,3277.390794871795
CollectiveReduce,CollectiveReduce_4,234,4494.005551282052
CollectiveReduce,CollectiveReduce_5,234,5066.513102564103
CollectiveReduce,CollectiveReduce_6,234,4624.919205128205
ConcatenateDataset,ConcatenateDataset,2,9.2355
Equal,Equal,117,6.75334188034188
Equal,Equal_1,117,2.7893504273504277
Equal,Equal_2,117,8.852444444444446
Fill,Fill,17,42.07882352941176
FlushSummaryWriter,FlushSummaryWriter,1,3537.756
GatherV2,GatherV2,124,954.2963951612904
GatherV2,GatherV2_1,124,127.03437903225807
GreaterEqual,GreaterEqual,117,82.23986324786325
GreaterEqual,GreaterEqual,117,9.462829059829062
IDLE,IDLE,0,0.0
Identity,Identity,22,1.6012272727272725
Dataset,Iterator::Model,119,10.400512605042016
Dataset,Iterator::Model::Shard,119,18.21306722689076
Dataset,Iterator::Model::Shard::Prefetch,355,149.55314366197183
Dataset,Iterator::Model::Shard::Prefetch::Rebatch,358,6.512843575418994
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map,120,11.710783333333335
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2,120,479.89155
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip,124,11.277016129032257
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap,124,12.57792741935484
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch,2,1172.046
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map,3,2147.5016666666666
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat,3,40.79533333333333
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap::Prefetch::Map::FiniteRepeat::Range,5,4.207
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate,119,6.5851596638655465
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[0]::TensorSlice,118,34.410355932203395
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[0]::Concatenate[1]::FromTensor,2,2.705
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate,6,4.922833333333333
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[0]::FlatMap[1]::Concatenate[0]::TensorSlice,6,12.045166666666667
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[1]::ForeverRepeat,124,99.9845
Dataset,Iterator::Model::Shard::Prefetch::Rebatch::Map::ParallelMapV2::Zip[1]::ForeverRepeat::FromTensor,247,5.724939271255059
Dataset,Iterator::Prefetch,117,82.51506837606837
Dataset,Iterator::Prefetch::Generator,118,359.14005932203384
IteratorGetNext,IteratorGetNext,117,36.655752136752135
Less,Less,3393,2.851343353964044
Less,Less,3393,1.9799198349543181
LogicalAnd,LogicalAnd,1,18.07
LogicalNot,LogicalNot,21,4.442952380952382
MatMul,MatMul,3276,765.5109352869353
MatMul,MatMul,3276,287.51178876678875
MatMul,MatMul,117,142.80360683760685
MatMul,MatMul,117,55.15920512820514
MatMul,MatMul_1,3276,638.6734114774115
MatMul,MatMul_1,3276,477.15051862026866
MatMul,MatMul_1,3276,395.26611477411467
MatMul,MatMul_1,117,313.471452991453
MatMul,MatMul_1,117,165.2810598290598
Mul,Mul,3276,31.102186507936512
Mul,Mul,3276,28.777464285714284
Mul,Mul,3276,25.74497222222222
Mul,Mul,117,29.97475213675213
Mul,Mul,117,16.860717948717948
Mul,Mul,117,12.07205982905983
Mul,Mul,117,6.265034188034187
Mul,Mul_1,3276,33.5671510989011
Mul,Mul_1,3276,32.62040231990232
Mul,Mul_1,3276,29.594272588522593
Mul,Mul_1,117,15.567042735042735
Mul,Mul_1,117,14.218444444444444
Mul,Mul_1,117,6.7752905982905975
Mul,Mul_1,117,3.346598290598291
MultiDeviceIteratorFromStringHandle,MultiDeviceIteratorFromStringHandle,118,24.696169491525424
MultiDeviceIteratorGetNextFromShard,MultiDeviceIteratorGetNextFromShard,118,42.24298305084746
Pow,Pow,117,29.22823076923077
Pow,Pow_1,117,6.377000000000002
RandomShuffle,RandomShuffle,3,1943.043333333333
RandomUniform,RandomUniform,117,187.6369743589744
RandomUniform,RandomUniform,117,85.88405982905981
ReadVariableOp,ReadVariableOp,3276,3.427875763125763
ReadVariableOp,ReadVariableOp,3276,1.949526556776557
ReadVariableOp,ReadVariableOp,3276,1.9288724053724051
ReadVariableOp,ReadVariableOp,117,21.695025641025644
ReadVariableOp,ReadVariableOp,117,7.8902136752136744
ReadVariableOp,ReadVariableOp,117,7.7949743589743585
ReadVariableOp,ReadVariableOp,117,6.931376068376068
ReadVariableOp,ReadVariableOp,117,4.860905982905983
ReadVariableOp,ReadVariableOp,117,4.625495726495727
ReadVariableOp,ReadVariableOp,117,3.771700854700855
ReadVariableOp,ReadVariableOp,117,3.4372222222222213
ReadVariableOp,ReadVariableOp,117,3.1994615384615384
ReadVariableOp,ReadVariableOp,117,3.04017094017094
ReadVariableOp,ReadVariableOp,117,2.9684786324786328
ReadVariableOp,ReadVariableOp,117,2.77174358974359
ReadVariableOp,ReadVariableOp,117,2.751529914529914
ReadVariableOp,ReadVariableOp,117,2.5521794871794867
ReadVariableOp,ReadVariableOp,117,2.1916153846153845
ReadVariableOp,ReadVariableOp,117,2.152521367521368
ReadVariableOp,ReadVariableOp,117,1.8596837606837608
ReadVariableOp,ReadVariableOp,117,1.7834957264957263
ReadVariableOp,ReadVariableOp,117,1.388735042735043
Relu,Relu,3276,12.718845543345545
_FusedMatMul,Relu,117,62.30228205128206
ReluGrad,ReluGrad,3276,88.18902075702076
ReluGrad,ReluGrad,3276,84.83719108669108
ReluGrad,ReluGrad,117,40.164068376068386
Relu,Relu_1,3276,24.26554365079365
RemoteCall,RemoteCall____inference__init_func_467,1,617.2769999999999
RemoteCall,RemoteCall____inference__next_func_483,118,52.5927372881356
Cast,ReorderCastLikeAndValuePreserving_float_Cast,117,6.866461538461539
Cast,ReorderCastLikeAndValuePreserving_int64_Cast,117,5.5711111111111125
ResourceApplyAdam,ResourceApplyAdam,117,217.08211111111112
ResourceApplyAdam,ResourceApplyAdam,117,200.95060683760684
ResourceApplyAdam,ResourceApplyAdam,117,189.20742735042737
ResourceApplyAdam,ResourceApplyAdam,117,106.57252991452991
ResourceApplyAdam,ResourceApplyAdam,117,55.27601709401709
ResourceApplyAdam,ResourceApplyAdam,117,30.22405128205128
