Type,Operation,#Occurrences,Avg. self-time (us)
ArgMax,ArgMax,937,20.627495197438638
ArgMax,ArgMax_1,937,5.839296691568839
Assert,Assert,6,0.5681666666666666
AssignAddVariableOp,AssignAddVariableOp,937,6.388964781216649
AssignAddVariableOp,AssignAddVariableOp_1,937,2.0327652081109924
AssignAddVariableOp,AssignAddVariableOp_2,937,8.142712913553895
AssignAddVariableOp,AssignAddVariableOp_3,937,2.1154994663820705
AssignAddVariableOp,SGD/SGD/update_0/AssignAddVariableOp,937,4.17174493062967
AssignAddVariableOp,update_0/AssignAddVariableOp,937,7.371576307363927
AssignVariableOp,AssignVariableOp,6,13.252166666666668
AvgPool,sequential/average_pooling2d/AvgPool,937,449.0651782283885
AvgPool,sequential/average_pooling2d_1/AvgPool,937,130.2604098185699
AvgPoolGrad,gradient_tape/sequential/average_pooling2d/AvgPool/AvgPoolGrad,937,386.52686339381006
AvgPoolGrad,gradient_tape/sequential/average_pooling2d_1/AvgPool/AvgPoolGrad,937,98.66482390608324
BiasAddGrad,gradient_tape/sequential/conv2d/BiasAdd/BiasAddGrad,937,410.8065058697972
BiasAddGrad,gradient_tape/sequential/conv2d_1/BiasAdd/BiasAddGrad,937,53.84082497331911
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,937,11.225540021344717
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,937,12.836519743863391
BiasAddGrad,gradient_tape/sequential/dense_2/BiasAdd/BiasAddGrad,937,9.496948772678762
Cast,Cast_1,937,2.940132337246532
Cast,Cast_2,937,2.294720384204909
Cast,categorical_crossentropy/weighted_loss/num_elements/Cast,937,3.8857630736392745
CollectiveBcastSend,CollectiveBcastSend,12,1939.0909166666668
CollectiveReduce,div_no_nan/allreduce/CollectiveReduce,1874,1156.5752844183564
CollectiveReduce,div_no_nan/allreduce_1/CollectiveReduce,1874,1163.611862326574
CollectiveReduce,div_no_nan_1/allreduce/CollectiveReduce,1874,1180.399689434365
CollectiveReduce,div_no_nan_1/allreduce_1/CollectiveReduce,1874,1212.6220965848452
CollectiveReduce,scoped_allocator_1_1_CollectiveReduce,1874,1757.904668089648
ConcatenateDataset,ConcatenateDataset,2,7.7645
Conv2DBackpropFilter,gradient_tape/sequential/conv2d/Conv2DBackpropFilter,937,2768.7803927427967
Conv2DBackpropFilter,gradient_tape/sequential/conv2d_1/Conv2DBackpropFilter,937,1790.7944994663821
Conv2DBackpropInput,gradient_tape/sequential/conv2d_1/Conv2DBackpropInput,937,1018.4149124866597
Dataset,Iterator::Model,939,6.627166134185302
Dataset,Iterator::Model::Shard,939,11.518296059637914
Dataset,Iterator::Model::Shard::Prefetch,1877,9.951190729888117
