Type,Operation,#Occurrences,Avg. self-time (us)
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN,13104,8.673403311965812
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_1,13104,5.3765139652014655
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_2,13104,6.136131944444445
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_4,13104,12.631277625152626
AddN,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/AddN_5,13104,60.565691468253966
AddV2,Adam/add,468,8.238087606837608
AddV2,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/add,13104,0.9704420024420024
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add,13104,1.8966736111111107
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/add_1,13104,1.346342261904762
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add,13104,20.602472603785106
AddV2,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/add_1,13104,8.205293116605617
ArgMax,ArgMax,468,10.463442307692308
Assert,Assert,21,0.5632380952380952
AssignAddVariableOp,Adam/Adam/update_0/AssignAddVariableOp,468,5.583694444444443
AssignAddVariableOp,AssignAddVariableOp,468,9.592566239316241
AssignAddVariableOp,AssignAddVariableOp_1,468,2.9675341880341883
AssignAddVariableOp,AssignAddVariableOp_2,468,10.643241452991454
AssignAddVariableOp,AssignAddVariableOp_3,468,1.7589230769230768
AssignAddVariableOp,update_0/AssignAddVariableOp,468,10.282138888888891
AssignVariableOp,AssignVariableOp,21,13.959238095238097
BiasAdd,sequential/lstm/while/body/_1/sequential/lstm/while/lstm_cell/BiasAdd,13104,32.565254578754576
BiasAddGrad,gradient_tape/sequential/dense/BiasAdd/BiasAddGrad,468,13.361728632478632
BiasAddGrad,gradient_tape/sequential/dense_1/BiasAdd/BiasAddGrad,468,17.577446581196586
BiasAddGrad,gradient_tape/sequential/lstm/while/sequential/lstm/while_grad/body/_159/gradient_tape/sequential/lstm/while/gradients/sequential/lstm/while/lstm_cell/BiasAdd_grad/BiasAddGrad,13104,28.34306669719169
Cast,Adam/Cast_1,468,5.657982905982907
Cast,ArithmeticOptimizer/ReorderCastLikeAndValuePreserving_float_Cast,468,5.11675641025641
Cast,Cast,468,2.613809829059829
Cast,Cast_3,468,3.033517094017094
Cast,Cast_4,468,2.3892670940170944
